Provider,TotalClaims,TotalClaimAmount,AvgClaimAmount,MaxClaimAmount,UniquePhysicians,PotentialFraud,anomaly_score,behavior_risk,fraud_probability
PRV51035,30,32560,1085.3333333333333,29000,18,0,-0.116388972076683,0.04210107,0.0052699083
PRV51036,278,74880,269.3525179856115,4400,5,0,-0.1028724091763604,0.12485218,0.09230515
PRV51037,454,342230,753.8105726872246,23000,3,1,-0.0067694418769473,0.24555045,0.7679159
PRV51038,141,265490,1882.90780141844,17000,44,0,-0.0386608776281855,0.3326771,0.0922481
PRV51040,86,74470,865.9302325581396,21000,15,0,-0.1228109049847674,0.17774677,0.01468251
PRV51041,34,7410,217.94117647058823,3200,9,0,-0.1751208123696199,0.054909606,0.0010800883
PRV51042,142,48050,338.38028169014086,3300,52,0,-0.0970392402577647,0.13637435,0.016923543
PRV51043,23,4480,194.7826086956522,1100,6,0,-0.1752026876592958,0.025497014,0.002033999
PRV51044,59,21330,361.5254237288136,3300,1,0,-0.1728647404116646,0.18143988,0.0013060624
PRV51045,31,8390,270.64516129032256,3300,16,0,-0.1714273580501782,0.046449732,0.0037416648
PRV51046,38,109370,2878.157894736842,38000,6,0,-0.0860177097271643,0.13937053,0.10964539
PRV51047,11,2530,230.0,1300,10,0,-0.1698792250791107,0.018495878,0.0005047176
PRV51048,38,27700,728.9473684210526,7000,15,0,-0.1603240116620782,0.10022306,0.02588266
PRV51049,71,21720,305.9154929577465,3300,35,0,-0.1416278758033536,0.15112253,0.0011109345
PRV51052,46,30800,669.5652173913044,9000,17,1,-0.1567314103905728,0.14075932,0.39139414
PRV51053,1,8000,8000.0,8000,1,0,-0.0754042083918556,0.0,0.0004346537
PRV51054,57,15130,265.43859649122805,1900,3,0,-0.1669059393165352,0.15402545,0.0006416656
PRV51055,22,21640,983.6363636363636,16000,6,0,-0.1386241215220691,0.030798059,0.002326341
PRV51056,22,14700,668.1818181818181,5000,5,0,-0.1630551497987352,0.02521738,0.005866943
PRV51057,5,6830,1366.0,3300,1,0,-0.151525650217744,0.08055407,0.0010981587
PRV51058,83,107030,1289.5180722891566,57000,31,0,-0.0535392233784062,0.18421301,0.064150944
PRV51059,96,421060,4386.041666666667,57000,30,1,-0.0257401150837708,0.57056266,0.18886027
PRV51060,42,43710,1040.7142857142858,14000,28,0,-0.1300314894496051,0.129105,0.018459992
PRV51061,145,54940,378.8965517241379,6700,6,0,-0.1431214098464739,0.17277195,0.018164521
PRV51062,397,153380,386.3476070528967,25000,6,0,-0.0456706939761733,0.14478597,0.069168895
PRV51063,149,51110,343.02013422818794,3300,3,0,-0.1492089837862835,0.1446611,0.02336003
PRV51064,303,360320,1189.1749174917493,37000,111,1,0.0714974245758579,0.16781858,0.65357244
PRV51065,28,76570,2734.6428571428573,11000,9,0,-0.1214573555954879,0.0660868,0.07950065
PRV51066,24,24790,1032.9166666666667,15000,7,0,-0.1402468271183882,0.032201648,0.0028432002
PRV51067,58,334520,5767.586206896552,83000,21,1,0.0605032596198464,0.3416249,0.7080708
PRV51068,261,143260,548.8888888888889,19000,79,0,-0.010078311025171,0.15719986,0.099983715
PRV51070,99,125410,1266.767676767677,22000,46,0,-0.0736022205272261,0.21053067,0.026936578
PRV51071,24,8550,356.25,3200,11,0,-0.1753399755205785,0.029056165,0.000716016
PRV51072,212,119170,562.122641509434,14000,47,0,-0.0623074031920867,0.16045001,0.049055025
PRV51074,39,41170,1055.6410256410256,15000,14,0,-0.1457712687212575,0.09256574,0.008630165
PRV51075,17,8550,502.9411764705882,3000,4,0,-0.1755937373054502,0.02106331,0.003821558
PRV51076,29,10230,352.7586206896552,3300,8,0,-0.1772279887234252,0.037652332,0.0008713823
PRV51077,33,204350,6192.424242424242,56000,11,1,-0.0425380540483944,0.23702028,0.5539235
PRV51078,23,78270,3403.043478260869,16000,13,0,-0.1197230225107935,0.048616316,0.032671995
PRV51081,200,124080,620.4,48000,3,0,-0.0379770197841828,0.1699516,0.091420084
PRV51082,34,5470,160.88235294117646,1000,9,0,-0.1691414802263064,0.047450166,0.0013795753
PRV51083,90,18100,201.11111111111111,3300,18,0,-0.1598787156245567,0.12653756,0.005533262
PRV51084,110,215580,1959.8181818181813,45000,32,1,-0.0577363662998404,0.26730052,0.49952707
PRV51086,139,446170,3209.856115107914,57000,24,0,-0.0202221887930532,0.26805642,0.33042735
PRV51089,228,230900,1012.719298245614,41000,72,0,0.007301886653365,0.18750124,0.20155744
PRV51090,7,5830,832.8571428571429,3300,3,0,-0.1642382129803918,0.03530875,0.00047922644
PRV51091,44,9270,210.6818181818182,2100,19,0,-0.1636297614428552,0.11882468,0.00573326
PRV51093,9,13710,1523.3333333333333,11000,6,0,-0.1419103704923406,0.029589565,0.0013605828
PRV51096,5,3200,640.0,2100,3,0,-0.1670041316792896,0.07859907,0.0007468356
PRV51097,125,44420,355.36,3500,1,0,-0.1517404581295288,0.15710828,0.001987098
PRV51098,4,300,75.0,200,2,0,-0.1696968552593053,0.0,0.0033067807
PRV51100,5,78000,15600.0,33000,3,0,0.0005414518590198,0.13715099,0.1738837
PRV51101,3,16600,5533.333333333333,13000,1,0,-0.1039839338897386,0.0,0.00083835993
PRV51102,12,148000,12333.333333333334,47000,3,0,-0.0148923509149059,0.07326097,0.33085224
PRV51103,6,440,73.33333333333333,200,2,1,-0.1706116262520516,0.04853375,0.051136933
PRV51104,12,1900,158.33333333333334,700,2,0,-0.1788890487761843,0.017709676,0.00039065228
PRV51105,12,6540,545.0,1800,2,0,-0.1740533056829131,0.018405383,0.0012715287
PRV51108,19,156000,8210.526315789473,22000,6,0,-0.0652020567948281,0.08621835,0.16013774
PRV51109,3,18000,6000.0,8000,1,0,-0.0975365854043605,0.0,0.0009953751
PRV51110,5,27000,5400.0,9000,3,0,-0.1039974329571427,0.09367051,0.0057465485
PRV51111,132,54860,415.6060606060606,7010,4,0,-0.142310701109478,0.17411996,0.0637313
PRV51112,304,105250,346.2171052631579,4100,7,0,-0.0906203430148857,0.15565154,0.029943388
PRV51113,132,46390,351.43939393939394,3300,2,0,-0.1520229999568894,0.15823112,0.0030641903
PRV51114,262,76720,292.82442748091603,8200,5,0,-0.1041546546227604,0.17318256,0.012698545
PRV51115,7,980,140.0,600,3,0,-0.1740067871669093,0.034145087,0.0005943361
PRV51117,12,1950,162.5,1400,4,0,-0.1759407377017535,0.01767343,0.00040836612
PRV51118,16,136000,8500.0,22000,4,0,-0.0699947326137437,0.06190936,0.2206884
PRV51119,95,1080580,11374.526315789471,118000,8,1,0.1968277791680092,0.5797686,0.9777995
PRV51120,7,52000,7428.571428571428,15000,1,0,-0.086325606393738,0.05091212,0.026381537
PRV51121,7,81080,11582.857142857143,45000,3,0,-0.0319421468676411,0.06055146,0.087186515
PRV51122,7,1120,160.0,500,7,0,-0.1682492889313256,0.034178954,0.0007649084
PRV51123,31,26910,868.0645161290323,5000,21,0,-0.149792002952124,0.055680834,0.022386288
PRV51125,48,131310,2735.625,30000,36,0,-0.0777600946520806,0.35317963,0.1449763
PRV51126,20,177000,8850.0,25000,2,1,-0.0543705421395799,0.10530525,0.36335436
PRV51128,50,102220,2044.4,29000,19,0,-0.1114062706527822,0.27630305,0.12860368
PRV51129,96,22920,238.75,2000,54,0,-0.0858971867567558,0.14793648,0.0002879482
PRV51130,7,4970,710.0,3100,2,0,-0.1710278430603662,0.034946647,0.0026931777
PRV51131,8,1160,145.0,800,4,0,-0.1721546267490987,0.03415211,0.0010094672
PRV51132,8,5330,666.25,4000,5,0,-0.1651088608825291,0.03551856,0.0007267707
PRV51134,15,7610,507.3333333333333,2900,3,0,-0.1766363995936026,0.01888212,0.0013137101
PRV51135,5,300,60.0,90,1,0,-0.1643246399173938,0.07694932,0.0017750028
PRV51136,1,20000,20000.0,20000,1,0,0.0292133858509631,0.0,0.0007977742
PRV51137,55,16050,291.8181818181818,6000,23,0,-0.1520739354196734,0.14374235,0.0036113313
PRV51138,26,13430,516.5384615384615,6000,7,0,-0.1671540180517865,0.03578029,0.0074953376
PRV51139,43,52580,1222.7906976744189,14000,34,0,-0.1153033044396016,0.14419049,0.024753073
PRV51140,487,453130,930.4517453798768,16000,5,0,0.0055158017863049,0.15750498,0.16678752
PRV51141,71,19490,274.50704225352115,1900,8,0,-0.1632347911417425,0.15723214,0.00021818797
PRV51142,51,104570,2050.392156862745,57000,15,0,-0.0597602778792839,0.25306898,0.14050382
PRV51143,77,20450,265.5844155844156,3300,26,0,-0.1541428584547284,0.1338826,0.0011943779
PRV51144,30,61220,2040.6666666666667,33000,14,0,-0.1072171666348145,0.05571365,0.047768112
PRV51145,202,1606350,7952.227722772277,46000,37,1,0.1534862946583094,0.7855306,0.98699933
PRV51146,352,1680910,4775.3125,57000,77,1,0.1609375587624743,0.7092719,0.98932356
PRV51147,32,8860,276.875,3300,23,0,-0.1607922399063579,0.042949945,0.0003929911
PRV51148,330,488660,1480.7878787878788,37000,60,1,0.0367833510547178,0.19091362,0.49440446
PRV51149,148,1120680,7572.162162162162,57000,25,1,0.089124361255909,0.7681603,0.9555018
PRV51151,233,201300,863.9484978540772,16000,97,0,0.0301693079782233,0.1862954,0.09505416
PRV51152,83,25770,310.48192771084337,3300,3,0,-0.1690717693219526,0.16086182,0.0005424233
PRV51153,87,71490,821.7241379310345,34000,51,0,-0.0566592292704567,0.22808608,0.02321319
PRV51154,161,45750,284.16149068322983,8100,3,0,-0.1334334109375654,0.16237518,0.0067731314
PRV51155,115,26330,228.95652173913044,3300,1,0,-0.1572831140113364,0.16867378,0.002004037
PRV51156,542,140640,259.48339483394835,3300,3,0,-0.0485866470275172,0.16615784,0.054261476
PRV51159,569,797790,1402.091388400703,57000,99,1,0.1166636448399282,0.2049443,0.93295956
PRV51160,114,872020,7649.298245614035,57000,22,0,0.059435860311502,0.76636195,0.2887482
PRV51164,391,556980,1424.5012787723786,41000,7,0,0.0279650818895865,0.26282412,0.3352442
PRV51165,98,329700,3364.285714285714,57000,62,0,0.0058603400323761,0.21091436,0.38516128
PRV51166,5,24870,4974.0,22000,4,0,-0.0971786752310662,0.0863187,0.0022113675
PRV51167,190,51980,273.57894736842104,3300,22,0,-0.1332008756623766,0.17887753,0.031544156
PRV51168,87,80470,924.9425287356322,25000,14,0,-0.1158903184358749,0.1885473,0.006292979
PRV51169,77,19380,251.6883116883117,3300,51,0,-0.1062868251973889,0.15335071,0.00043962558
PRV51170,16,145820,9113.75,57000,8,1,-0.0204859785915474,0.078572325,0.455549
PRV51171,59,13820,234.2372881355932,3300,38,0,-0.1361062321576741,0.13369495,0.0010844707
PRV51173,22,96290,4376.818181818182,29000,12,1,-0.1023472860398777,0.061105765,0.2798752
PRV51175,41,9650,235.3658536585366,2100,21,0,-0.1616179733620187,0.09296397,0.0007561597
PRV51176,445,145980,328.0449438202247,7500,128,0,0.0684192785772164,0.15470776,0.01132802
PRV51178,65,431180,6633.538461538462,43000,19,1,-0.0143628756696833,0.4763888,0.7586478
PRV51179,26,5000,192.30769230769232,1400,14,0,-0.1661128097427278,0.032790206,0.0007531856
PRV51180,129,94240,730.5426356589147,41000,3,0,-0.0694219549064333,0.22511184,0.13601369
PRV51181,10,2150,215.0,800,5,0,-0.1758551688618316,0.022309694,0.0010840698
PRV51183,113,355790,3148.5840707964603,38000,8,0,-0.0419239476276926,0.30780077,0.15471528
PRV51185,8,1590,198.75,500,5,0,-0.1719947712346179,0.026555756,0.0011320129
PRV51186,2,100,50.0,50,1,0,-0.1647452983648129,0.0,0.0013179949
PRV51189,56,8740,156.07142857142858,1600,11,0,-0.1629604942736446,0.1680847,0.017238019
PRV51190,66,39310,595.6060606060606,15000,23,0,-0.1370764381628573,0.13945036,0.03454257
PRV51191,32,10990,343.4375,3000,22,0,-0.1613050193137348,0.04969131,0.00027929692
PRV51194,9,18540,2060.0,14000,5,0,-0.1291247754497909,0.029415322,0.0019989735
PRV51196,720,197060,273.69444444444446,4300,1,0,-0.0034923474055137,0.15761289,0.42771205
PRV51198,6,360,60.0,100,2,0,-0.1673889437222847,0.076990776,0.005198783
PRV51200,19,4420,232.6315789473684,1600,4,0,-0.1780985274425772,0.022714272,0.0019025158
PRV51201,45,10660,236.88888888888889,3300,3,0,-0.176211730029951,0.12764058,0.00085623184
PRV51202,12,5010,417.5,3100,5,0,-0.177670407969439,0.022945033,0.0002648323
PRV51203,21,15340,730.4761904761905,9010,5,0,-0.1601900494968246,0.025898784,0.0033572388
PRV51204,499,155180,310.9819639278557,3300,3,0,-0.0495134940820352,0.15187602,0.015671466
PRV51205,10,4660,466.0,3300,6,0,-0.1770465702817005,0.020343723,0.00054887333
PRV51206,10,1560,156.0,400,6,0,-0.1709011854827092,0.019707441,0.000610549
PRV51207,3,51000,17000.0,38000,2,0,0.0172495699012783,0.0,0.03090143
PRV51209,42,9910,235.95238095238096,1700,2,0,-0.1716458261866235,0.085035846,0.029813355
PRV51210,9,2890,321.1111111111111,1400,3,0,-0.1751714279806925,0.022444205,0.0011111551
PRV51211,2,100,50.0,100,2,0,-0.1663227893799392,0.0,0.0012210389
PRV51212,15,6260,417.3333333333333,3300,2,0,-0.1791890570665116,0.018890336,0.00048327522
PRV51213,2,50,25.0,30,2,0,-0.1629360858061412,0.0,0.0011578497
PRV51214,8,3200,400.0,1600,3,0,-0.1733041404554065,0.034763746,0.0014516776
PRV51215,10,1610,161.0,500,1,0,-0.174694220070691,0.02220078,0.00042106182
PRV51216,71,15560,219.1549295774648,3300,2,0,-0.1736639078795627,0.15441144,0.0006288751
PRV51217,5,2930,586.0,2100,2,0,-0.1699979682747951,0.07876271,0.0011783481
PRV51218,7,520,74.28571428571429,200,1,0,-0.1685313052632582,0.03401153,0.0021227682
PRV51219,8,5330,666.25,3300,3,0,-0.1696961926797537,0.027406538,0.0008687819
PRV51221,1,70,70.0,70,1,0,-0.1665502259879082,0.0,0.0046516955
PRV51222,5,860,172.0,400,2,0,-0.1752675006862756,0.07737665,0.00075104117
PRV51224,7,3130,447.1428571428572,1400,1,0,-0.1724614573117775,0.034694966,0.006018782
PRV51225,8,1190,148.75,500,2,0,-0.1745989209904136,0.0341395,0.0006333952
PRV51226,20,7430,371.5,2200,3,0,-0.1766205562781933,0.022167128,0.0019316514
PRV51228,5,430,86.0,200,2,0,-0.1691731871331696,0.13008575,0.006489155
PRV51229,47,12410,264.0425531914894,3000,2,0,-0.1748605166850326,0.13812582,0.0011113326
PRV51230,30,12490,416.3333333333333,1800,2,0,-0.1687369165325506,0.0443837,0.013975042
PRV51231,2,16000,8000.0,8000,1,0,-0.0795799791736251,0.0,0.00042465483
PRV51232,1,26000,26000.0,26000,1,0,0.0725422922895551,0.0,0.0020383087
PRV51233,3,27000,9000.0,17000,2,0,-0.0738994028502849,0.0,0.0032495912
PRV51234,5,29000,5800.0,13000,1,0,-0.1036307443369861,0.15372664,0.0024982102
PRV51235,2,10000,5000.0,5000,1,0,-0.1046520302204266,0.0,0.0006222566
PRV51236,1,12000,12000.0,12000,1,0,-0.0422117145892361,0.0,0.0010804238
PRV51237,1,19000,19000.0,19000,1,0,0.0211817701496035,0.0,0.0008266198
PRV51238,8,132000,16500.0,33000,1,0,0.014131461611223,0.080082335,0.030722518
PRV51239,1,5000,5000.0,5000,1,0,-0.1057851751137979,0.0,0.0004481836
PRV51240,60,94020,1567.0,19000,24,0,-0.1105248889855494,0.23138669,0.047864128
PRV51241,60,90210,1503.5,22000,23,0,-0.113456918139936,0.21028873,0.00944271
PRV51242,111,117200,1055.855855855856,18000,43,1,-0.0832302522313406,0.16847487,0.237394
PRV51243,36,6330,175.83333333333334,2600,5,0,-0.1726007013304271,0.054883692,0.00080527866
PRV51244,1415,2153990,1522.2544169611308,57000,16,1,0.2086896307773295,0.23115392,0.99231917
PRV51245,173,83630,483.4104046242775,9000,30,0,-0.1065647620164784,0.18464416,0.018475728
PRV51247,34,76240,2242.3529411764707,18000,13,0,-0.1246764112603868,0.09753912,0.10943621
PRV51248,2,23500,11750.0,23000,2,0,-0.043156101882507,0.0,0.0025822301
PRV51249,126,521330,4137.539682539683,57000,36,1,-0.0019723919875753,0.40337083,0.67288154
PRV51250,85,22560,265.4117647058824,2800,32,0,-0.1421684913563148,0.15583333,0.0007458715
PRV51251,11,3590,326.3636363636364,1500,8,0,-0.1723393905642927,0.020056274,0.0011735931
PRV51252,87,154930,1780.8045977011495,27000,35,0,-0.0787255338207653,0.27100593,0.07423927
PRV51253,85,21740,255.76470588235293,3300,40,0,-0.1230415721990609,0.16215897,0.0005111463
PRV51255,74,40570,548.2432432432432,7000,21,0,-0.1522507157350037,0.16494703,0.1270477
PRV51256,95,38550,405.7894736842105,14800,38,0,-0.109864535227298,0.17874998,0.007867668
PRV51258,14,99660,7118.571428571428,28000,6,0,-0.0811609331786956,0.043262005,0.02786062
PRV51259,21,151960,7236.190476190476,84000,9,0,0.0596062951670961,0.068180844,0.18153563
PRV51260,62,92390,1490.1612903225807,43000,24,0,-0.0859023056114382,0.19872446,0.025306553
PRV51261,142,270170,1902.605633802817,29000,48,0,-0.0361779643538995,0.31817734,0.13308334
PRV51262,60,16270,271.1666666666667,2200,19,0,-0.1634130983133709,0.16595721,0.001549301
PRV51263,44,218170,4958.409090909091,57000,10,1,-0.0460230210556947,0.31980157,0.5128965
PRV51264,39,5270,135.12820512820514,1100,22,0,-0.1518707943261017,0.066498525,0.0014311192
PRV51265,160,45770,286.0625,3300,5,0,-0.147742806309133,0.15397584,0.0035987287
PRV51266,92,102900,1118.4782608695652,33000,47,0,-0.0662334166653977,0.18897164,0.024235165
PRV51267,14,12870,919.2857142857144,6000,4,0,-0.1549946489278722,0.020031136,0.0004193062
PRV51271,123,43180,351.0569105691057,13000,21,0,-0.1317564817283112,0.13907312,0.027394626
PRV51272,79,50760,642.5316455696203,18000,3,0,-0.1360822202200201,0.15777303,0.032035988
PRV51273,553,131340,237.50452079566003,6600,131,0,0.0818175265888181,0.15286587,0.026101453
PRV51274,58,175720,3029.655172413793,59000,31,0,-0.0426164114609302,0.2912142,0.5320904
PRV51276,67,133980,1999.7014925373128,20000,42,0,-0.0778209577578449,0.27148128,0.07686745
PRV51277,59,141190,2393.0508474576272,53000,27,0,-0.0603994589927218,0.24529842,0.09482419
PRV51279,224,59840,267.1428571428572,3300,21,0,-0.1227325745007393,0.16323617,0.011563086
PRV51280,39,20250,519.2307692307693,5060,13,0,-0.1642736282943568,0.08381624,0.0051040733
PRV51281,259,89470,345.44401544401546,5020,3,0,-0.0987264432904971,0.15202178,0.009275451
PRV51282,59,77330,1310.677966101695,24000,22,0,-0.1169812808614732,0.19714957,0.005974805
PRV51284,377,279860,742.3342175066313,51000,10,0,-0.0023091713587856,0.15537427,0.26672792
PRV51285,168,196120,1167.3809523809523,57000,33,0,-0.0332145021912004,0.33258602,0.24153791
PRV51286,70,145170,2073.8571428571427,33000,10,0,-0.0922937036008463,0.211152,0.11026581
PRV51287,78,25700,329.4871794871795,3300,3,0,-0.1692519718513621,0.15570821,0.0007308282
PRV51288,8,37360,4670.0,29000,5,0,-0.0964053330912699,0.034942698,0.01173681
PRV51289,92,46300,503.2608695652174,3300,2,0,-0.158837866990564,0.16785385,0.021793468
PRV51290,113,14990,132.65486725663715,1300,14,0,-0.1396994573477015,0.15056437,0.0055860113
PRV51292,22,3970,180.45454545454547,800,7,0,-0.1728611240914612,0.02703171,0.0008331779
PRV51293,88,21200,240.9090909090909,2600,7,0,-0.1648596945578525,0.12776348,0.00036363167
PRV51295,7,1950,278.57142857142856,1200,4,0,-0.1733681733984083,0.049091414,0.0013765456
PRV51296,30,38630,1287.6666666666667,17000,7,0,-0.1357141241244382,0.061418045,0.033335794
PRV51297,70,77090,1101.2857142857142,18000,11,0,-0.130045325715591,0.18811797,0.019702082
PRV51298,100,31120,311.2,4060,2,0,-0.1581110417932161,0.15441912,0.0013768406
PRV51299,37,6230,168.3783783783784,1600,12,0,-0.1665463498041893,0.05070837,0.0015940041
PRV51300,52,107540,2068.076923076923,30000,3,0,-0.1035498061199625,0.26623753,0.23723546
PRV51301,112,136910,1222.4107142857142,53000,7,0,-0.0528755978461679,0.18592753,0.067123644
PRV51302,43,80710,1876.9767441860463,25000,9,0,-0.1216565840798112,0.15644366,0.045769792
PRV51303,93,36110,388.2795698924731,3000,4,0,-0.1632503773081348,0.15267317,0.00083174615
PRV51304,51,39350,771.5686274509804,25000,12,0,-0.126453916974562,0.21161273,0.010806341
PRV51305,49,113400,2314.285714285714,35000,2,0,-0.0858531021152172,0.3011617,0.115933925
PRV51306,17,3700,217.64705882352945,1300,2,0,-0.1790380809821759,0.019399935,0.0020327652
PRV51307,37,6940,187.5675675675676,2400,6,0,-0.1738515277615221,0.06721626,0.0010212979
PRV51308,35,13790,394.0,2300,4,0,-0.1717616039940281,0.06566493,0.0033314924
PRV51309,18,3790,210.5555555555556,1000,5,0,-0.1751470990023949,0.021245321,0.00409095
PRV51311,21,16010,762.3809523809524,6000,8,0,-0.1605156981983963,0.027770363,0.003116762
PRV51312,46,28790,625.8695652173913,7000,13,0,-0.1635505359740636,0.14480022,0.030275725
PRV51313,19,4970,261.57894736842104,1400,6,0,-0.175661933416032,0.022843612,0.0021991534
PRV51314,30,6460,215.3333333333333,1100,1,0,-0.1722194253916276,0.045029,0.010762629
PRV51315,47,7210,153.40425531914894,2600,3,0,-0.1707203415575008,0.10890157,0.0031005014
PRV51316,3,21000,7000.0,12000,1,0,-0.0917363539525848,0.0,0.00091899536
PRV51318,3,13000,4333.333333333333,6000,1,0,-0.1115609139725536,0.0,0.000616227
PRV51322,12,850,70.83333333333333,200,1,0,-0.1696888383303737,0.019577937,0.0006820669
PRV51323,76,20860,274.4736842105263,7500,1,0,-0.1539655645049943,0.14819065,0.0020145683
PRV51324,28,9330,333.2142857142857,3300,2,0,-0.1792419782850402,0.040624324,0.0013459963
PRV51325,15,15140,1009.3333333333334,3300,1,0,-0.1591825094010835,0.019977707,0.00043953865
PRV51326,44,14000,318.1818181818182,3300,2,0,-0.177400480068852,0.10906213,0.001066981
PRV51327,41,8990,219.26829268292684,3100,1,0,-0.1742415590400969,0.09755344,0.00059430714
PRV51328,7,550,78.57142857142857,200,2,0,-0.171755545367862,0.04859735,0.007748055
PRV51329,74,19360,261.6216216216216,3000,3,0,-0.1709501242602685,0.14554563,0.0031053897
PRV51330,19,3810,200.52631578947367,500,1,0,-0.1710010365299696,0.022645311,0.0058307434
PRV51331,5,320,64.0,100,1,0,-0.1641245032357562,0.076963454,0.0017750028
PRV51334,2,15000,7500.0,10000,1,0,-0.0828522180111853,0.0,0.0004216223
PRV51335,142,46080,324.50704225352115,3300,16,0,-0.1520401867851404,0.16470653,0.005196916
PRV51336,69,129450,1876.0869565217392,28000,39,0,-0.0811222266037063,0.219673,0.084585845
PRV51337,168,379100,2256.54761904762,49000,71,1,0.0205959289879842,0.28515682,0.6687002
PRV51338,128,113860,889.53125,18000,83,1,-0.0091661994799505,0.18429236,0.23890929
PRV51340,151,43210,286.158940397351,3010,80,0,-0.0467030512561818,0.15514359,0.00083492236
PRV51341,71,14530,204.64788732394365,2800,53,0,-0.1027722381640129,0.14315052,0.004577498
PRV51342,207,356780,1723.574879227053,57000,31,0,-0.0184611045417595,0.19416238,0.6602479
PRV51344,33,26250,795.4545454545455,10000,18,0,-0.1533298066610739,0.05352486,0.01813427
PRV51345,49,15120,308.57142857142856,3200,12,0,-0.1759271985626605,0.149196,0.00047678236
PRV51346,266,104490,392.81954887218046,15000,96,0,0.0163470849696939,0.1776578,0.09209107
PRV51347,2067,596900,288.7760038703435,13800,4,1,0.1359116455865742,0.17560764,0.9857448
PRV51348,55,152330,2769.6363636363635,28000,41,0,-0.0655160036783037,0.2566449,0.083690844
PRV51349,30,40480,1349.3333333333333,14000,23,0,-0.1280310583498132,0.049744543,0.0057800794
PRV51350,239,213380,892.8033472803347,13000,127,0,0.0712559937136542,0.202676,0.10616517
PRV51351,32,10840,338.75,3300,16,0,-0.1714154881376804,0.04394213,0.0034063333
PRV51352,4,5900,1475.0,2600,3,0,-0.1509807711335188,0.0,0.00021666755
PRV51353,18,51210,2845.0,14000,12,0,-0.1260235599691299,0.032391597,0.045284614
PRV51354,4,10440,2610.0,10000,4,0,-0.1282700090066169,0.0,0.00071470876
PRV51355,74,145060,1960.2702702702704,25000,24,0,-0.0928284845963172,0.21601553,0.056604557
PRV51356,95,187800,1976.842105263158,39000,36,0,-0.0623540103277402,0.25334254,0.16214919
PRV51357,161,205130,1274.0993788819876,33000,86,1,0.0102821358837519,0.18317568,0.57627213
PRV51358,17,61210,3600.5882352941176,16000,13,0,-0.1210178280235241,0.033784367,0.024067996
PRV51360,29,94230,3249.310344827586,32000,21,0,-0.0992489035033573,0.07202659,0.09246286
PRV51361,32,7870,245.9375,2800,19,0,-0.1667402749974927,0.037213963,0.0004715803
PRV51362,44,151320,3439.090909090909,57000,22,0,-0.0537404155460153,0.20343058,0.093434796
PRV51363,3,150,50.0,100,3,0,-0.1656998823782143,0.0,0.0010976859
PRV51364,23,55830,2427.391304347826,18000,13,0,-0.1258019415142535,0.039488636,0.08115493
PRV51366,57,18340,321.7543859649123,4100,11,0,-0.1707790049643215,0.15802892,0.0035118954
PRV51368,4,570,142.5,300,3,0,-0.1711446000346132,0.0,0.0010993571
PRV51369,2083,601910,288.96303408545367,6060,2,1,0.1362717833860367,0.17262998,0.97457564
PRV51371,46,93130,2024.5652173913045,13000,21,0,-0.1148313906490264,0.19200183,0.06989121
