Provider,TotalClaims,TotalClaimAmount,AvgClaimAmount,MaxClaimAmount,UniquePhysicians,PotentialFraud,anomaly_score,behavior_risk
PRV51081,200,124080,620.4,48000,3,0,-0.0379770197841828,0.1699516
PRV51082,34,5470,160.88235294117646,1000,9,0,-0.1691414802263064,0.047450166
PRV51083,90,18100,201.11111111111111,3300,18,0,-0.1598787156245567,0.12653756
PRV51084,110,215580,1959.8181818181813,45000,32,1,-0.0577363662998404,0.26730052
PRV51086,139,446170,3209.856115107914,57000,24,0,-0.0202221887930532,0.26805642
PRV51089,228,230900,1012.719298245614,41000,72,0,0.007301886653365,0.18750124
PRV51090,7,5830,832.8571428571429,3300,3,0,-0.1642382129803918,0.03530875
PRV51091,44,9270,210.6818181818182,2100,19,0,-0.1636297614428552,0.11882468
PRV51093,9,13710,1523.3333333333333,11000,6,0,-0.1419103704923406,0.029589565
PRV51096,5,3200,640.0,2100,3,0,-0.1670041316792896,0.07859907
PRV51097,125,44420,355.36,3500,1,0,-0.1517404581295288,0.15710828
PRV51098,4,300,75.0,200,2,0,-0.1696968552593053,0.0
PRV51100,5,78000,15600.0,33000,3,0,0.0005414518590198,0.13715099
PRV51101,3,16600,5533.333333333333,13000,1,0,-0.1039839338897386,0.0
PRV51102,12,148000,12333.333333333334,47000,3,0,-0.0148923509149059,0.07326097
PRV51103,6,440,73.33333333333333,200,2,1,-0.1706116262520516,0.04853375
PRV51104,12,1900,158.33333333333334,700,2,0,-0.1788890487761843,0.017709676
PRV51105,12,6540,545.0,1800,2,0,-0.1740533056829131,0.018405383
PRV51108,19,156000,8210.526315789473,22000,6,0,-0.0652020567948281,0.08621835
PRV51109,3,18000,6000.0,8000,1,0,-0.0975365854043605,0.0
PRV51110,5,27000,5400.0,9000,3,0,-0.1039974329571427,0.09367051
PRV51111,132,54860,415.6060606060606,7010,4,0,-0.142310701109478,0.17411996
PRV51112,304,105250,346.2171052631579,4100,7,0,-0.0906203430148857,0.15565154
PRV51113,132,46390,351.43939393939394,3300,2,0,-0.1520229999568894,0.15823112
PRV51114,262,76720,292.82442748091603,8200,5,0,-0.1041546546227604,0.17318256
PRV51115,7,980,140.0,600,3,0,-0.1740067871669093,0.034145087
PRV51117,12,1950,162.5,1400,4,0,-0.1759407377017535,0.01767343
PRV51118,16,136000,8500.0,22000,4,0,-0.0699947326137437,0.06190936
PRV51119,95,1080580,11374.526315789471,118000,8,1,0.1968277791680092,0.5797686
PRV51120,7,52000,7428.571428571428,15000,1,0,-0.086325606393738,0.05091212
PRV51121,7,81080,11582.857142857143,45000,3,0,-0.0319421468676411,0.06055146
PRV51122,7,1120,160.0,500,7,0,-0.1682492889313256,0.034178954
PRV51123,31,26910,868.0645161290323,5000,21,0,-0.149792002952124,0.055680834
PRV51125,48,131310,2735.625,30000,36,0,-0.0777600946520806,0.35317963
PRV51126,20,177000,8850.0,25000,2,1,-0.0543705421395799,0.10530525
PRV51128,50,102220,2044.4,29000,19,0,-0.1114062706527822,0.27630305
PRV51129,96,22920,238.75,2000,54,0,-0.0858971867567558,0.14793648
PRV51130,7,4970,710.0,3100,2,0,-0.1710278430603662,0.034946647
PRV51131,8,1160,145.0,800,4,0,-0.1721546267490987,0.03415211
PRV51132,8,5330,666.25,4000,5,0,-0.1651088608825291,0.03551856
PRV51134,15,7610,507.3333333333333,2900,3,0,-0.1766363995936026,0.01888212
PRV51135,5,300,60.0,90,1,0,-0.1643246399173938,0.07694932
PRV51136,1,20000,20000.0,20000,1,0,0.0292133858509631,0.0
PRV51137,55,16050,291.8181818181818,6000,23,0,-0.1520739354196734,0.14374235
PRV51138,26,13430,516.5384615384615,6000,7,0,-0.1671540180517865,0.03578029
PRV51139,43,52580,1222.7906976744189,14000,34,0,-0.1153033044396016,0.14419049
PRV51140,487,453130,930.4517453798768,16000,5,0,0.0055158017863049,0.15750498
PRV51141,71,19490,274.50704225352115,1900,8,0,-0.1632347911417425,0.15723214
PRV51142,51,104570,2050.392156862745,57000,15,0,-0.0597602778792839,0.25306898
PRV51143,77,20450,265.5844155844156,3300,26,0,-0.1541428584547284,0.1338826
PRV51144,30,61220,2040.6666666666667,33000,14,0,-0.1072171666348145,0.05571365
PRV51145,202,1606350,7952.227722772277,46000,37,1,0.1534862946583094,0.7855306
PRV51146,352,1680910,4775.3125,57000,77,1,0.1609375587624743,0.7092719
PRV51147,32,8860,276.875,3300,23,0,-0.1607922399063579,0.042949945
PRV51148,330,488660,1480.7878787878788,37000,60,1,0.0367833510547178,0.19091362
PRV51149,148,1120680,7572.162162162162,57000,25,1,0.089124361255909,0.7681603
PRV51151,233,201300,863.9484978540772,16000,97,0,0.0301693079782233,0.1862954
PRV51152,83,25770,310.48192771084337,3300,3,0,-0.1690717693219526,0.16086182
PRV51153,87,71490,821.7241379310345,34000,51,0,-0.0566592292704567,0.22808608
PRV51154,161,45750,284.16149068322983,8100,3,0,-0.1334334109375654,0.16237518
PRV51155,115,26330,228.95652173913044,3300,1,0,-0.1572831140113364,0.16867378
PRV51156,542,140640,259.48339483394835,3300,3,0,-0.0485866470275172,0.16615784
PRV51159,569,797790,1402.091388400703,57000,99,1,0.1166636448399282,0.2049443
PRV51160,114,872020,7649.298245614035,57000,22,0,0.059435860311502,0.76636195
PRV51164,391,556980,1424.5012787723786,41000,7,0,0.0279650818895865,0.26282412
PRV51165,98,329700,3364.285714285714,57000,62,0,0.0058603400323761,0.21091436
PRV51166,5,24870,4974.0,22000,4,0,-0.0971786752310662,0.0863187
PRV51167,190,51980,273.57894736842104,3300,22,0,-0.1332008756623766,0.17887753
PRV51168,87,80470,924.9425287356322,25000,14,0,-0.1158903184358749,0.1885473
PRV51169,77,19380,251.6883116883117,3300,51,0,-0.1062868251973889,0.15335071
PRV51170,16,145820,9113.75,57000,8,1,-0.0204859785915474,0.078572325
PRV51171,59,13820,234.2372881355932,3300,38,0,-0.1361062321576741,0.13369495
PRV51173,22,96290,4376.818181818182,29000,12,1,-0.1023472860398777,0.061105765
PRV51175,41,9650,235.3658536585366,2100,21,0,-0.1616179733620187,0.09296397
PRV51176,445,145980,328.0449438202247,7500,128,0,0.0684192785772164,0.15470776
PRV51178,65,431180,6633.538461538462,43000,19,1,-0.0143628756696833,0.4763888
PRV51179,26,5000,192.30769230769232,1400,14,0,-0.1661128097427278,0.032790206
PRV51180,129,94240,730.5426356589147,41000,3,0,-0.0694219549064333,0.22511184
PRV51181,10,2150,215.0,800,5,0,-0.1758551688618316,0.022309694
PRV51183,113,355790,3148.5840707964603,38000,8,0,-0.0419239476276926,0.30780077
PRV51185,8,1590,198.75,500,5,0,-0.1719947712346179,0.026555756
PRV51186,2,100,50.0,50,1,0,-0.1647452983648129,0.0
PRV51189,56,8740,156.07142857142858,1600,11,0,-0.1629604942736446,0.1680847
PRV51190,66,39310,595.6060606060606,15000,23,0,-0.1370764381628573,0.13945036
PRV51191,32,10990,343.4375,3000,22,0,-0.1613050193137348,0.04969131
PRV51194,9,18540,2060.0,14000,5,0,-0.1291247754497909,0.029415322
PRV51196,720,197060,273.69444444444446,4300,1,0,-0.0034923474055137,0.15761289
PRV51198,6,360,60.0,100,2,0,-0.1673889437222847,0.076990776
PRV51200,19,4420,232.6315789473684,1600,4,0,-0.1780985274425772,0.022714272
PRV51201,45,10660,236.88888888888889,3300,3,0,-0.176211730029951,0.12764058
PRV51202,12,5010,417.5,3100,5,0,-0.177670407969439,0.022945033
PRV51203,21,15340,730.4761904761905,9010,5,0,-0.1601900494968246,0.025898784
PRV51204,499,155180,310.9819639278557,3300,3,0,-0.0495134940820352,0.15187602
PRV51205,10,4660,466.0,3300,6,0,-0.1770465702817005,0.020343723
PRV51206,10,1560,156.0,400,6,0,-0.1709011854827092,0.019707441
PRV51207,3,51000,17000.0,38000,2,0,0.0172495699012783,0.0
PRV51209,42,9910,235.95238095238096,1700,2,0,-0.1716458261866235,0.085035846
PRV51210,9,2890,321.1111111111111,1400,3,0,-0.1751714279806925,0.022444205
PRV51211,2,100,50.0,100,2,0,-0.1663227893799392,0.0
PRV51212,15,6260,417.3333333333333,3300,2,0,-0.1791890570665116,0.018890336
PRV51213,2,50,25.0,30,2,0,-0.1629360858061412,0.0
PRV51214,8,3200,400.0,1600,3,0,-0.1733041404554065,0.034763746
PRV51215,10,1610,161.0,500,1,0,-0.174694220070691,0.02220078
PRV51216,71,15560,219.1549295774648,3300,2,0,-0.1736639078795627,0.15441144
PRV51217,5,2930,586.0,2100,2,0,-0.1699979682747951,0.07876271
PRV51218,7,520,74.28571428571429,200,1,0,-0.1685313052632582,0.03401153
PRV51219,8,5330,666.25,3300,3,0,-0.1696961926797537,0.027406538
PRV51221,1,70,70.0,70,1,0,-0.1665502259879082,0.0
PRV51222,5,860,172.0,400,2,0,-0.1752675006862756,0.07737665
PRV51224,7,3130,447.1428571428572,1400,1,0,-0.1724614573117775,0.034694966
PRV51225,8,1190,148.75,500,2,0,-0.1745989209904136,0.0341395
PRV51226,20,7430,371.5,2200,3,0,-0.1766205562781933,0.022167128
PRV51228,5,430,86.0,200,2,0,-0.1691731871331696,0.13008575
PRV51229,47,12410,264.0425531914894,3000,2,0,-0.1748605166850326,0.13812582
PRV51230,30,12490,416.3333333333333,1800,2,0,-0.1687369165325506,0.0443837
PRV51231,2,16000,8000.0,8000,1,0,-0.0795799791736251,0.0
PRV51232,1,26000,26000.0,26000,1,0,0.0725422922895551,0.0
PRV51233,3,27000,9000.0,17000,2,0,-0.0738994028502849,0.0
PRV51234,5,29000,5800.0,13000,1,0,-0.1036307443369861,0.15372664
PRV51235,2,10000,5000.0,5000,1,0,-0.1046520302204266,0.0
PRV51236,1,12000,12000.0,12000,1,0,-0.0422117145892361,0.0
PRV51237,1,19000,19000.0,19000,1,0,0.0211817701496035,0.0
PRV51238,8,132000,16500.0,33000,1,0,0.014131461611223,0.080082335
PRV51239,1,5000,5000.0,5000,1,0,-0.1057851751137979,0.0
PRV51240,60,94020,1567.0,19000,24,0,-0.1105248889855494,0.23138669
PRV51241,60,90210,1503.5,22000,23,0,-0.113456918139936,0.21028873
PRV51242,111,117200,1055.855855855856,18000,43,1,-0.0832302522313406,0.16847487
PRV51243,36,6330,175.83333333333334,2600,5,0,-0.1726007013304271,0.054883692
PRV51244,1415,2153990,1522.2544169611308,57000,16,1,0.2086896307773295,0.23115392
PRV51245,173,83630,483.4104046242775,9000,30,0,-0.1065647620164784,0.18464416
PRV51247,34,76240,2242.3529411764707,18000,13,0,-0.1246764112603868,0.09753912
PRV51248,2,23500,11750.0,23000,2,0,-0.043156101882507,0.0
PRV51249,126,521330,4137.539682539683,57000,36,1,-0.0019723919875753,0.40337083
PRV51250,85,22560,265.4117647058824,2800,32,0,-0.1421684913563148,0.15583333
PRV51251,11,3590,326.3636363636364,1500,8,0,-0.1723393905642927,0.020056274
PRV51252,87,154930,1780.8045977011495,27000,35,0,-0.0787255338207653,0.27100593
PRV51253,85,21740,255.76470588235293,3300,40,0,-0.1230415721990609,0.16215897
PRV51255,74,40570,548.2432432432432,7000,21,0,-0.1522507157350037,0.16494703
PRV51256,95,38550,405.7894736842105,14800,38,0,-0.109864535227298,0.17874998
PRV51258,14,99660,7118.571428571428,28000,6,0,-0.0811609331786956,0.043262005
PRV51259,21,151960,7236.190476190476,84000,9,0,0.0596062951670961,0.068180844
PRV51260,62,92390,1490.1612903225807,43000,24,0,-0.0859023056114382,0.19872446
PRV51261,142,270170,1902.605633802817,29000,48,0,-0.0361779643538995,0.31817734
PRV51262,60,16270,271.1666666666667,2200,19,0,-0.1634130983133709,0.16595721
PRV51263,44,218170,4958.409090909091,57000,10,1,-0.0460230210556947,0.31980157
PRV51264,39,5270,135.12820512820514,1100,22,0,-0.1518707943261017,0.066498525
PRV51265,160,45770,286.0625,3300,5,0,-0.147742806309133,0.15397584
PRV51266,92,102900,1118.4782608695652,33000,47,0,-0.0662334166653977,0.18897164
PRV51267,14,12870,919.2857142857144,6000,4,0,-0.1549946489278722,0.020031136
PRV51271,123,43180,351.0569105691057,13000,21,0,-0.1317564817283112,0.13907312
PRV51272,79,50760,642.5316455696203,18000,3,0,-0.1360822202200201,0.15777303
PRV51273,553,131340,237.50452079566003,6600,131,0,0.0818175265888181,0.15286587
PRV51274,58,175720,3029.655172413793,59000,31,0,-0.0426164114609302,0.2912142
PRV51276,67,133980,1999.7014925373128,20000,42,0,-0.0778209577578449,0.27148128
PRV51277,59,141190,2393.0508474576272,53000,27,0,-0.0603994589927218,0.24529842
PRV51279,224,59840,267.1428571428572,3300,21,0,-0.1227325745007393,0.16323617
PRV51280,39,20250,519.2307692307693,5060,13,0,-0.1642736282943568,0.08381624
PRV51281,259,89470,345.44401544401546,5020,3,0,-0.0987264432904971,0.15202178
PRV51282,59,77330,1310.677966101695,24000,22,0,-0.1169812808614732,0.19714957
PRV51284,377,279860,742.3342175066313,51000,10,0,-0.0023091713587856,0.15537427
PRV51285,168,196120,1167.3809523809523,57000,33,0,-0.0332145021912004,0.33258602
PRV51286,70,145170,2073.8571428571427,33000,10,0,-0.0922937036008463,0.211152
PRV51287,78,25700,329.4871794871795,3300,3,0,-0.1692519718513621,0.15570821
PRV51288,8,37360,4670.0,29000,5,0,-0.0964053330912699,0.034942698
PRV51289,92,46300,503.2608695652174,3300,2,0,-0.158837866990564,0.16785385
PRV51290,113,14990,132.65486725663715,1300,14,0,-0.1396994573477015,0.15056437
PRV51292,22,3970,180.45454545454547,800,7,0,-0.1728611240914612,0.02703171
PRV51293,88,21200,240.9090909090909,2600,7,0,-0.1648596945578525,0.12776348
PRV51295,7,1950,278.57142857142856,1200,4,0,-0.1733681733984083,0.049091414
PRV51296,30,38630,1287.6666666666667,17000,7,0,-0.1357141241244382,0.061418045
PRV51297,70,77090,1101.2857142857142,18000,11,0,-0.130045325715591,0.18811797
PRV51298,100,31120,311.2,4060,2,0,-0.1581110417932161,0.15441912
PRV51299,37,6230,168.3783783783784,1600,12,0,-0.1665463498041893,0.05070837
PRV51300,52,107540,2068.076923076923,30000,3,0,-0.1035498061199625,0.26623753
PRV51301,112,136910,1222.4107142857142,53000,7,0,-0.0528755978461679,0.18592753
PRV51302,43,80710,1876.9767441860463,25000,9,0,-0.1216565840798112,0.15644366
PRV51303,93,36110,388.2795698924731,3000,4,0,-0.1632503773081348,0.15267317
PRV51304,51,39350,771.5686274509804,25000,12,0,-0.126453916974562,0.21161273
PRV51305,49,113400,2314.285714285714,35000,2,0,-0.0858531021152172,0.3011617
PRV51306,17,3700,217.64705882352945,1300,2,0,-0.1790380809821759,0.019399935
PRV51307,37,6940,187.5675675675676,2400,6,0,-0.1738515277615221,0.06721626
PRV51308,35,13790,394.0,2300,4,0,-0.1717616039940281,0.06566493
PRV51309,18,3790,210.5555555555556,1000,5,0,-0.1751470990023949,0.021245321
PRV51311,21,16010,762.3809523809524,6000,8,0,-0.1605156981983963,0.027770363
PRV51312,46,28790,625.8695652173913,7000,13,0,-0.1635505359740636,0.14480022
PRV51313,19,4970,261.57894736842104,1400,6,0,-0.175661933416032,0.022843612
PRV51314,30,6460,215.3333333333333,1100,1,0,-0.1722194253916276,0.045029
PRV51315,47,7210,153.40425531914894,2600,3,0,-0.1707203415575008,0.10890157
PRV51316,3,21000,7000.0,12000,1,0,-0.0917363539525848,0.0
PRV51318,3,13000,4333.333333333333,6000,1,0,-0.1115609139725536,0.0
PRV51322,12,850,70.83333333333333,200,1,0,-0.1696888383303737,0.019577937
PRV51323,76,20860,274.4736842105263,7500,1,0,-0.1539655645049943,0.14819065
PRV51324,28,9330,333.2142857142857,3300,2,0,-0.1792419782850402,0.040624324
PRV51325,15,15140,1009.3333333333334,3300,1,0,-0.1591825094010835,0.019977707
PRV51326,44,14000,318.1818181818182,3300,2,0,-0.177400480068852,0.10906213
PRV51327,41,8990,219.26829268292684,3100,1,0,-0.1742415590400969,0.09755344
PRV51328,7,550,78.57142857142857,200,2,0,-0.171755545367862,0.04859735
PRV51329,74,19360,261.6216216216216,3000,3,0,-0.1709501242602685,0.14554563
PRV51330,19,3810,200.52631578947367,500,1,0,-0.1710010365299696,0.022645311
PRV51331,5,320,64.0,100,1,0,-0.1641245032357562,0.076963454
PRV51334,2,15000,7500.0,10000,1,0,-0.0828522180111853,0.0
PRV51335,142,46080,324.50704225352115,3300,16,0,-0.1520401867851404,0.16470653
PRV51336,69,129450,1876.0869565217392,28000,39,0,-0.0811222266037063,0.219673
PRV51337,168,379100,2256.54761904762,49000,71,1,0.0205959289879842,0.28515682
PRV51338,128,113860,889.53125,18000,83,1,-0.0091661994799505,0.18429236
PRV51340,151,43210,286.158940397351,3010,80,0,-0.0467030512561818,0.15514359
PRV51341,71,14530,204.64788732394365,2800,53,0,-0.1027722381640129,0.14315052
PRV51342,207,356780,1723.574879227053,57000,31,0,-0.0184611045417595,0.19416238
PRV51344,33,26250,795.4545454545455,10000,18,0,-0.1533298066610739,0.05352486
PRV51345,49,15120,308.57142857142856,3200,12,0,-0.1759271985626605,0.149196
PRV51346,266,104490,392.81954887218046,15000,96,0,0.0163470849696939,0.1776578
PRV51347,2067,596900,288.7760038703435,13800,4,1,0.1359116455865742,0.17560764
PRV51348,55,152330,2769.6363636363635,28000,41,0,-0.0655160036783037,0.2566449
PRV51349,30,40480,1349.3333333333333,14000,23,0,-0.1280310583498132,0.049744543
PRV51350,239,213380,892.8033472803347,13000,127,0,0.0712559937136542,0.202676
PRV51351,32,10840,338.75,3300,16,0,-0.1714154881376804,0.04394213
PRV51352,4,5900,1475.0,2600,3,0,-0.1509807711335188,0.0
PRV51353,18,51210,2845.0,14000,12,0,-0.1260235599691299,0.032391597
PRV51354,4,10440,2610.0,10000,4,0,-0.1282700090066169,0.0
PRV51355,74,145060,1960.2702702702704,25000,24,0,-0.0928284845963172,0.21601553
PRV51356,95,187800,1976.842105263158,39000,36,0,-0.0623540103277402,0.25334254
PRV51357,161,205130,1274.0993788819876,33000,86,1,0.0102821358837519,0.18317568
PRV51358,17,61210,3600.5882352941176,16000,13,0,-0.1210178280235241,0.033784367
PRV51360,29,94230,3249.310344827586,32000,21,0,-0.0992489035033573,0.07202659
PRV51361,32,7870,245.9375,2800,19,0,-0.1667402749974927,0.037213963
PRV51362,44,151320,3439.090909090909,57000,22,0,-0.0537404155460153,0.20343058
PRV51363,3,150,50.0,100,3,0,-0.1656998823782143,0.0
PRV51364,23,55830,2427.391304347826,18000,13,0,-0.1258019415142535,0.039488636
PRV51366,57,18340,321.7543859649123,4100,11,0,-0.1707790049643215,0.15802892
PRV51368,4,570,142.5,300,3,0,-0.1711446000346132,0.0
PRV51369,2083,601910,288.96303408545367,6060,2,1,0.1362717833860367,0.17262998
PRV51371,46,93130,2024.5652173913045,13000,21,0,-0.1148313906490264,0.19200183
PRV51376,51,19420,380.7843137254902,6000,23,0,-0.1530947829210704,0.14259896
PRV51377,95,123950,1304.7368421052631,57000,47,0,-0.0296533593556527,0.27695525
PRV51378,161,1215370,7548.88198757764,57000,42,1,0.1059520895604388,0.75911504
PRV51379,22,19340,879.0909090909091,10000,21,0,-0.1475214899763127,0.026445232
PRV51380,8,51560,6445.0,25000,8,0,-0.0889512981629949,0.040613513
PRV51382,16,6840,427.5,5300,7,0,-0.1659586962619317,0.019873574
PRV51383,77,108490,1408.9610389610389,32000,29,0,-0.0926596217812972,0.24885248
PRV51386,382,99320,260.0,3300,18,0,-0.0775384826746086,0.16489814
PRV51387,59,114420,1939.322033898305,21000,22,0,-0.1070715854145531,0.24590446
PRV51388,86,191010,2221.046511627907,57000,35,0,-0.0444093874445643,0.27012467
PRV51389,79,153470,1942.6582278481008,19000,46,0,-0.0597237234815334,0.20910332
PRV51390,275,1607260,5844.581818181819,57000,71,1,0.1568376921565389,0.7623147
PRV51391,177,144400,815.819209039548,17300,70,0,-0.0312127130339944,0.19845869
PRV51392,17,1660,97.6470588235294,500,9,0,-0.1669142573604937,0.019001799
PRV51393,910,906370,996.010989010989,94000,14,1,0.1809191465843599,0.2604822
PRV51394,4,460,115.0,400,3,0,-0.1698123563507704,0.0
PRV51395,20,10400,520.0,3300,5,0,-0.1753213013124826,0.021729374
PRV51396,44,17520,398.1818181818182,6000,26,0,-0.1480675540024992,0.12345021
PRV51397,40,17870,446.75,3300,30,0,-0.1495050644910295,0.07821176
PRV51398,86,31040,360.9302325581396,4000,14,0,-0.1634635472685794,0.1474161
PRV51399,211,845070,4005.071090047393,103000,56,1,0.1539098324257614,0.6789024
PRV51401,42,91520,2179.04761904762,27000,34,1,-0.092240816796972,0.13634571
PRV51403,114,277010,2429.9122807017543,57000,39,0,-0.0281313937018636,0.24641229
PRV51404,59,29350,497.457627118644,12000,37,0,-0.1218305475804525,0.16264902
PRV51405,49,23710,483.8775510204082,5000,18,0,-0.1598769243471393,0.14667547
PRV51406,29,104260,3595.172413793104,46000,19,0,-0.0737325203266988,0.08839747
PRV51408,15,1390,92.66666666666669,600,10,0,-0.1672555657226645,0.018190552
PRV51409,4,300,75.0,100,4,0,-0.1620048022715028,0.0
PRV51410,628,177550,282.7229299363057,8010,7,1,-0.0300546719620901,0.16053352
PRV51412,5,440,88.0,200,5,0,-0.1625112535160677,0.077033155
PRV51414,28,30230,1079.642857142857,17000,9,0,-0.1395130808124944,0.03742242
PRV51415,51,63690,1248.8235294117646,10000,33,0,-0.1157009000949805,0.22723326
PRV51416,81,25640,316.5432098765432,2300,1,0,-0.1591583445543948,0.14307919
PRV51418,61,189340,3103.934426229508,35000,39,0,-0.0573825444079165,0.3286142
PRV51419,65,31250,480.7692307692308,11000,40,0,-0.1129555286721654,0.16723366
PRV51421,139,884780,6365.323741007194,57000,39,1,0.0635657443787431,0.6061615
PRV51422,25,48930,1957.2,15000,15,0,-0.1354531065337107,0.048612557
PRV51423,1,50,50.0,50,1,0,-0.1639635810486024,0.0
PRV51424,86,29670,345.0,6000,34,0,-0.1278977837585083,0.16851322
PRV51425,33,25990,787.5757575757576,5700,14,0,-0.1598359393143589,0.05750663
PRV51426,206,145100,704.3689320388349,49000,30,1,-0.0437796346713018,0.16493559
PRV51427,58,58770,1013.2758620689656,11000,25,0,-0.1300381939186566,0.1945573
PRV51428,66,48040,727.8787878787879,11000,43,0,-0.1096505248494468,0.17235029
PRV51429,10,1100,110.0,500,9,0,-0.1651956652730156,0.022074841
PRV51430,112,213700,1908.0357142857144,37000,35,0,-0.0627662744102681,0.21675207
PRV51431,49,236720,4831.0204081632655,23000,14,0,-0.0739242262535144,0.41282815
PRV51432,23,59270,2576.9565217391305,24000,19,0,-0.1146029760358203,0.042494476
