Provider,TotalClaims,TotalClaimAmount,AvgClaimAmount,MaxClaimAmount,UniquePhysicians,PotentialFraud
PRV51098,4,300,75.0,200,2,0
PRV51100,5,78000,15600.0,33000,3,0
PRV51101,3,16600,5533.333333333333,13000,1,0
PRV51102,12,148000,12333.333333333334,47000,3,0
PRV51103,6,440,73.33333333333333,200,2,1
PRV51104,12,1900,158.33333333333334,700,2,0
PRV51105,12,6540,545.0,1800,2,0
PRV51108,19,156000,8210.526315789473,22000,6,0
PRV51109,3,18000,6000.0,8000,1,0
PRV51110,5,27000,5400.0,9000,3,0
PRV51111,132,54860,415.6060606060606,7010,4,0
PRV51112,304,105250,346.2171052631579,4100,7,0
PRV51113,132,46390,351.43939393939394,3300,2,0
PRV51114,262,76720,292.82442748091603,8200,5,0
PRV51115,7,980,140.0,600,3,0
PRV51117,12,1950,162.5,1400,4,0
PRV51118,16,136000,8500.0,22000,4,0
PRV51119,95,1080580,11374.526315789473,118000,8,1
PRV51120,7,52000,7428.571428571428,15000,1,0
PRV51121,7,81080,11582.857142857143,45000,3,0
PRV51122,7,1120,160.0,500,7,0
PRV51123,31,26910,868.0645161290323,5000,21,0
PRV51125,48,131310,2735.625,30000,36,0
PRV51126,20,177000,8850.0,25000,2,1
PRV51128,50,102220,2044.4,29000,19,0
PRV51129,96,22920,238.75,2000,54,0
PRV51130,7,4970,710.0,3100,2,0
PRV51131,8,1160,145.0,800,4,0
PRV51132,8,5330,666.25,4000,5,0
PRV51134,15,7610,507.3333333333333,2900,3,0
PRV51135,5,300,60.0,90,1,0
PRV51136,1,20000,20000.0,20000,1,0
PRV51137,55,16050,291.8181818181818,6000,23,0
PRV51138,26,13430,516.5384615384615,6000,7,0
PRV51139,43,52580,1222.7906976744187,14000,34,0
PRV51140,487,453130,930.4517453798768,16000,5,0
PRV51141,71,19490,274.50704225352115,1900,8,0
PRV51142,51,104570,2050.392156862745,57000,15,0
PRV51143,77,20450,265.5844155844156,3300,26,0
PRV51144,30,61220,2040.6666666666667,33000,14,0
PRV51145,202,1606350,7952.227722772277,46000,37,1
PRV51146,352,1680910,4775.3125,57000,77,1
PRV51147,32,8860,276.875,3300,23,0
PRV51148,330,488660,1480.7878787878788,37000,60,1
PRV51149,148,1120680,7572.1621621621625,57000,25,1
PRV51151,233,201300,863.9484978540772,16000,97,0
PRV51152,83,25770,310.48192771084337,3300,3,0
PRV51153,87,71490,821.7241379310345,34000,51,0
PRV51154,161,45750,284.16149068322983,8100,3,0
PRV51155,115,26330,228.95652173913044,3300,1,0
PRV51156,542,140640,259.48339483394835,3300,3,0
PRV51159,569,797790,1402.091388400703,57000,99,1
PRV51160,114,872020,7649.298245614035,57000,22,0
PRV51164,391,556980,1424.5012787723786,41000,7,0
PRV51165,98,329700,3364.285714285714,57000,62,0
PRV51166,5,24870,4974.0,22000,4,0
PRV51167,190,51980,273.57894736842104,3300,22,0
PRV51168,87,80470,924.9425287356322,25000,14,0
PRV51169,77,19380,251.6883116883117,3300,51,0
PRV51170,16,145820,9113.75,57000,8,1
PRV51171,59,13820,234.23728813559322,3300,38,0
PRV51173,22,96290,4376.818181818182,29000,12,1
PRV51175,41,9650,235.3658536585366,2100,21,0
PRV51176,445,145980,328.0449438202247,7500,128,0
PRV51178,65,431180,6633.538461538462,43000,19,1
PRV51179,26,5000,192.30769230769232,1400,14,0
PRV51180,129,94240,730.5426356589147,41000,3,0
PRV51181,10,2150,215.0,800,5,0
PRV51183,113,355790,3148.5840707964603,38000,8,0
PRV51185,8,1590,198.75,500,5,0
PRV51186,2,100,50.0,50,1,0
PRV51189,56,8740,156.07142857142858,1600,11,0
PRV51190,66,39310,595.6060606060606,15000,23,0
PRV51191,32,10990,343.4375,3000,22,0
PRV51194,9,18540,2060.0,14000,5,0
PRV51196,720,197060,273.69444444444446,4300,1,0
PRV51198,6,360,60.0,100,2,0
PRV51200,19,4420,232.6315789473684,1600,4,0
PRV51201,45,10660,236.88888888888889,3300,3,0
PRV51202,12,5010,417.5,3100,5,0
PRV51203,21,15340,730.4761904761905,9010,5,0
PRV51204,499,155180,310.9819639278557,3300,3,0
PRV51205,10,4660,466.0,3300,6,0
PRV51206,10,1560,156.0,400,6,0
PRV51207,3,51000,17000.0,38000,2,0
PRV51209,42,9910,235.95238095238096,1700,2,0
PRV51210,9,2890,321.1111111111111,1400,3,0
PRV51211,2,100,50.0,100,2,0
PRV51212,15,6260,417.3333333333333,3300,2,0
PRV51213,2,50,25.0,30,2,0
PRV51214,8,3200,400.0,1600,3,0
PRV51215,10,1610,161.0,500,1,0
PRV51216,71,15560,219.1549295774648,3300,2,0
PRV51217,5,2930,586.0,2100,2,0
PRV51218,7,520,74.28571428571429,200,1,0
PRV51219,8,5330,666.25,3300,3,0
PRV51221,1,70,70.0,70,1,0
PRV51222,5,860,172.0,400,2,0
PRV51224,7,3130,447.14285714285717,1400,1,0
PRV51225,8,1190,148.75,500,2,0
PRV51226,20,7430,371.5,2200,3,0
PRV51228,5,430,86.0,200,2,0
PRV51229,47,12410,264.0425531914894,3000,2,0
PRV51230,30,12490,416.3333333333333,1800,2,0
PRV51231,2,16000,8000.0,8000,1,0
PRV51232,1,26000,26000.0,26000,1,0
PRV51233,3,27000,9000.0,17000,2,0
PRV51234,5,29000,5800.0,13000,1,0
PRV51235,2,10000,5000.0,5000,1,0
PRV51236,1,12000,12000.0,12000,1,0
PRV51237,1,19000,19000.0,19000,1,0
PRV51238,8,132000,16500.0,33000,1,0
PRV51239,1,5000,5000.0,5000,1,0
PRV51240,60,94020,1567.0,19000,24,0
PRV51241,60,90210,1503.5,22000,23,0
PRV51242,111,117200,1055.855855855856,18000,43,1
PRV51243,36,6330,175.83333333333334,2600,5,0
PRV51244,1415,2153990,1522.2544169611308,57000,16,1
PRV51245,173,83630,483.4104046242775,9000,30,0
PRV51247,34,76240,2242.3529411764707,18000,13,0
PRV51248,2,23500,11750.0,23000,2,0
PRV51249,126,521330,4137.539682539683,57000,36,1
PRV51250,85,22560,265.4117647058824,2800,32,0
PRV51251,11,3590,326.3636363636364,1500,8,0
PRV51252,87,154930,1780.8045977011495,27000,35,0
PRV51253,85,21740,255.76470588235293,3300,40,0
PRV51255,74,40570,548.2432432432432,7000,21,0
PRV51256,95,38550,405.7894736842105,14800,38,0
PRV51258,14,99660,7118.571428571428,28000,6,0
PRV51259,21,151960,7236.190476190476,84000,9,0
PRV51260,62,92390,1490.1612903225807,43000,24,0
PRV51261,142,270170,1902.605633802817,29000,48,0
PRV51262,60,16270,271.1666666666667,2200,19,0
PRV51263,44,218170,4958.409090909091,57000,10,1
PRV51264,39,5270,135.12820512820514,1100,22,0
PRV51265,160,45770,286.0625,3300,5,0
PRV51266,92,102900,1118.4782608695652,33000,47,0
PRV51267,14,12870,919.2857142857143,6000,4,0
PRV51271,123,43180,351.0569105691057,13000,21,0
PRV51272,79,50760,642.5316455696203,18000,3,0
PRV51273,553,131340,237.50452079566003,6600,131,0
PRV51274,58,175720,3029.655172413793,59000,31,0
PRV51276,67,133980,1999.7014925373135,20000,42,0
PRV51277,59,141190,2393.0508474576272,53000,27,0
PRV51279,224,59840,267.14285714285717,3300,21,0
PRV51280,39,20250,519.2307692307693,5060,13,0
PRV51281,259,89470,345.44401544401546,5020,3,0
PRV51282,59,77330,1310.677966101695,24000,22,0
PRV51284,377,279860,742.3342175066313,51000,10,0
PRV51285,168,196120,1167.3809523809523,57000,33,0
PRV51286,70,145170,2073.8571428571427,33000,10,0
PRV51287,78,25700,329.4871794871795,3300,3,0
PRV51288,8,37360,4670.0,29000,5,0
PRV51289,92,46300,503.2608695652174,3300,2,0
PRV51290,113,14990,132.65486725663717,1300,14,0
PRV51292,22,3970,180.45454545454547,800,7,0
PRV51293,88,21200,240.9090909090909,2600,7,0
PRV51295,7,1950,278.57142857142856,1200,4,0
PRV51296,30,38630,1287.6666666666667,17000,7,0
PRV51297,70,77090,1101.2857142857142,18000,11,0
PRV51298,100,31120,311.2,4060,2,0
PRV51299,37,6230,168.3783783783784,1600,12,0
PRV51300,52,107540,2068.076923076923,30000,3,0
PRV51301,112,136910,1222.4107142857142,53000,7,0
PRV51302,43,80710,1876.9767441860465,25000,9,0
PRV51303,93,36110,388.2795698924731,3000,4,0
PRV51304,51,39350,771.5686274509804,25000,12,0
PRV51305,49,113400,2314.285714285714,35000,2,0
PRV51306,17,3700,217.64705882352942,1300,2,0
PRV51307,37,6940,187.56756756756758,2400,6,0
PRV51308,35,13790,394.0,2300,4,0
PRV51309,18,3790,210.55555555555554,1000,5,0
PRV51311,21,16010,762.3809523809524,6000,8,0
PRV51312,46,28790,625.8695652173913,7000,13,0
PRV51313,19,4970,261.57894736842104,1400,6,0
PRV51314,30,6460,215.33333333333334,1100,1,0
PRV51315,47,7210,153.40425531914894,2600,3,0
PRV51316,3,21000,7000.0,12000,1,0
PRV51318,3,13000,4333.333333333333,6000,1,0
PRV51322,12,850,70.83333333333333,200,1,0
PRV51323,76,20860,274.4736842105263,7500,1,0
PRV51324,28,9330,333.2142857142857,3300,2,0
PRV51325,15,15140,1009.3333333333334,3300,1,0
PRV51326,44,14000,318.1818181818182,3300,2,0
PRV51327,41,8990,219.26829268292684,3100,1,0
PRV51328,7,550,78.57142857142857,200,2,0
PRV51329,74,19360,261.6216216216216,3000,3,0
PRV51330,19,3810,200.52631578947367,500,1,0
PRV51331,5,320,64.0,100,1,0
PRV51334,2,15000,7500.0,10000,1,0
PRV51335,142,46080,324.50704225352115,3300,16,0
PRV51336,69,129450,1876.0869565217392,28000,39,0
PRV51337,168,379100,2256.5476190476193,49000,71,1
PRV51338,128,113860,889.53125,18000,83,1
PRV51340,151,43210,286.158940397351,3010,80,0
PRV51341,71,14530,204.64788732394365,2800,53,0
PRV51342,207,356780,1723.574879227053,57000,31,0
PRV51344,33,26250,795.4545454545455,10000,18,0
PRV51345,49,15120,308.57142857142856,3200,12,0
PRV51346,266,104490,392.81954887218046,15000,96,0
PRV51347,2067,596900,288.7760038703435,13800,4,1
PRV51348,55,152330,2769.6363636363635,28000,41,0
PRV51349,30,40480,1349.3333333333333,14000,23,0
PRV51350,239,213380,892.8033472803347,13000,127,0
PRV51351,32,10840,338.75,3300,16,0
PRV51352,4,5900,1475.0,2600,3,0
PRV51353,18,51210,2845.0,14000,12,0
PRV51354,4,10440,2610.0,10000,4,0
PRV51355,74,145060,1960.2702702702702,25000,24,0
PRV51356,95,187800,1976.842105263158,39000,36,0
PRV51357,161,205130,1274.0993788819876,33000,86,1
PRV51358,17,61210,3600.5882352941176,16000,13,0
PRV51360,29,94230,3249.310344827586,32000,21,0
PRV51361,32,7870,245.9375,2800,19,0
PRV51362,44,151320,3439.090909090909,57000,22,0
PRV51363,3,150,50.0,100,3,0
PRV51364,23,55830,2427.391304347826,18000,13,0
PRV51366,57,18340,321.7543859649123,4100,11,0
PRV51368,4,570,142.5,300,3,0
PRV51369,2083,601910,288.96303408545367,6060,2,1
PRV51371,46,93130,2024.5652173913043,13000,21,0
PRV51376,51,19420,380.7843137254902,6000,23,0
PRV51377,95,123950,1304.7368421052631,57000,47,0
PRV51378,161,1215370,7548.88198757764,57000,42,1
PRV51379,22,19340,879.0909090909091,10000,21,0
PRV51380,8,51560,6445.0,25000,8,0
PRV51382,16,6840,427.5,5300,7,0
PRV51383,77,108490,1408.9610389610389,32000,29,0
PRV51386,382,99320,260.0,3300,18,0
PRV51387,59,114420,1939.322033898305,21000,22,0
PRV51388,86,191010,2221.046511627907,57000,35,0
PRV51389,79,153470,1942.6582278481012,19000,46,0
PRV51390,275,1607260,5844.581818181819,57000,71,1
PRV51391,177,144400,815.819209039548,17300,70,0
PRV51392,17,1660,97.6470588235294,500,9,0
PRV51393,910,906370,996.010989010989,94000,14,1
PRV51394,4,460,115.0,400,3,0
PRV51395,20,10400,520.0,3300,5,0
PRV51396,44,17520,398.1818181818182,6000,26,0
PRV51397,40,17870,446.75,3300,30,0
PRV51398,86,31040,360.93023255813955,4000,14,0
PRV51399,211,845070,4005.071090047393,103000,56,1
PRV51401,42,91520,2179.0476190476193,27000,34,1
PRV51403,114,277010,2429.9122807017543,57000,39,0
PRV51404,59,29350,497.45762711864404,12000,37,0
PRV51405,49,23710,483.8775510204082,5000,18,0
PRV51406,29,104260,3595.1724137931033,46000,19,0
PRV51408,15,1390,92.66666666666667,600,10,0
PRV51409,4,300,75.0,100,4,0
PRV51410,628,177550,282.7229299363057,8010,7,1
PRV51412,5,440,88.0,200,5,0
PRV51414,28,30230,1079.642857142857,17000,9,0
PRV51415,51,63690,1248.8235294117646,10000,33,0
PRV51416,81,25640,316.5432098765432,2300,1,0
PRV51418,61,189340,3103.934426229508,35000,39,0
PRV51419,65,31250,480.7692307692308,11000,40,0
PRV51421,139,884780,6365.323741007194,57000,39,1
PRV51422,25,48930,1957.2,15000,15,0
PRV51423,1,50,50.0,50,1,0
PRV51424,86,29670,345.0,6000,34,0
PRV51425,33,25990,787.5757575757576,5700,14,0
PRV51426,206,145100,704.3689320388349,49000,30,1
PRV51427,58,58770,1013.2758620689655,11000,25,0
PRV51428,66,48040,727.8787878787879,11000,43,0
PRV51429,10,1100,110.0,500,9,0
PRV51430,112,213700,1908.0357142857142,37000,35,0
PRV51431,49,236720,4831.0204081632655,23000,14,0
PRV51432,23,59270,2576.9565217391305,24000,19,0
PRV51433,1610,454630,282.37888198757764,3300,4,1
PRV51434,102,280490,2749.901960784314,53000,49,1
PRV51435,23,33620,1461.7391304347825,10000,15,0
PRV51436,120,193410,1611.75,25000,79,0
PRV51437,2,880,440.0,800,2,0
PRV51438,9,19510,2167.777777777778,9000,7,0
PRV51439,42,15040,358.0952380952381,3300,25,0
PRV51440,71,106380,1498.3098591549297,20000,25,0
PRV51441,85,29130,342.70588235294116,3300,24,0
PRV51442,6,25970,4328.333333333333,21000,4,0
PRV51443,73,33900,464.3835616438356,8000,26,0
PRV51444,42,73920,1760.0,36000,31,0
PRV51446,24,97390,4057.9166666666665,21000,20,0
PRV51447,89,269390,3026.85393258427,78000,77,1
PRV51448,51,115550,2265.6862745098038,30000,37,0
PRV51449,17,69780,4104.705882352941,13000,14,0
PRV51451,6,1170,195.0,800,4,0
PRV51453,12,7080,590.0,3300,11,0
PRV51454,34,10630,312.6470588235294,2700,19,0
PRV51455,34,113650,3342.6470588235293,38000,26,0
PRV51456,135,1038990,7696.222222222223,57000,10,0
PRV51458,56,12440,222.14285714285714,3010,31,0
PRV51459,8240,2321890,281.78276699029124,7030,7,1
PRV51460,452,334480,740.0,57000,64,0
PRV51462,30,9430,314.3333333333333,2500,14,0
PRV51464,145,38530,265.7241379310345,3300,86,0
PRV51465,7,3900,557.1428571428571,3000,7,0
PRV51466,74,57860,781.8918918918919,22000,45,0
PRV51467,25,74260,2970.4,44000,13,0
PRV51468,159,138670,872.1383647798742,14000,68,0
PRV51469,28,9350,333.92857142857144,3100,21,0
PRV51470,27,35590,1318.148148148148,11000,16,0
PRV51471,180,1602210,8901.166666666666,81000,17,1
PRV51472,16,2170,135.625,500,8,0
PRV51474,71,411260,5792.394366197183,25000,16,0
PRV51475,43,73130,1700.6976744186047,12000,23,0
PRV51476,18,20180,1121.111111111111,7000,13,0
PRV51477,22,9940,451.8181818181818,3300,11,0
PRV51478,17,3930,231.1764705882353,1200,10,0
PRV51479,228,134630,590.4824561403509,15000,64,0
PRV51480,1924,557880,289.95841995841994,10500,4,1
PRV51482,91,218470,2400.769230769231,99000,60,1
PRV51483,77,60400,784.4155844155844,17000,44,0
PRV51484,86,23570,274.06976744186045,5000,28,0
PRV51486,214,53660,250.74766355140187,3300,15,0
PRV51487,13,9240,710.7692307692307,3300,8,0
PRV51488,272,108930,400.4779411764706,10000,119,0
PRV51490,64,442070,6907.34375,57000,9,1
PRV51491,71,67480,950.4225352112676,11000,39,0
PRV51492,81,150550,1858.641975308642,23000,46,0
PRV51494,38,17450,459.2105263157895,3300,25,0
PRV51495,141,845690,5997.801418439716,57000,32,1
PRV51496,123,29250,237.8048780487805,2100,5,0
PRV51497,15,104190,6946.0,57000,13,0
PRV51499,474,137840,290.80168776371306,14000,5,0
PRV51500,8,1100,137.5,500,5,0
PRV51501,233,2071310,8889.742489270386,57000,11,1
PRV51502,31,8390,270.64516129032256,2500,22,0
PRV51503,57,24070,422.280701754386,5200,8,0
PRV51504,128,35290,275.703125,3300,56,0
PRV51505,15,2430,162.0,900,15,0
PRV51507,1013,337340,333.01085883514315,15000,84,1
PRV51508,202,239050,1183.4158415841584,39000,99,0
PRV51509,1030,322130,312.747572815534,5100,2,0
PRV51510,57,20020,351.2280701754386,2300,12,0
PRV51511,16,8760,547.5,2500,13,0
PRV51514,93,239220,2572.2580645161293,46000,56,0
PRV51515,48,52800,1100.0,16000,30,0
PRV51516,40,33260,831.5,15000,25,0
PRV51517,11,5990,544.5454545454545,3300,2,0
PRV51518,53,43920,828.6792452830189,19000,14,0
PRV51521,46,8070,175.43478260869566,1900,1,0
PRV51522,190,206780,1088.3157894736842,34000,72,0
PRV51523,65,733810,11289.384615384615,57000,7,0
PRV51525,61,75770,1242.1311475409836,21000,45,0
PRV51526,20,43150,2157.5,13000,18,0
PRV51527,41,12410,302.6829268292683,2000,26,0
PRV51528,17,6670,392.3529411764706,3200,10,0
PRV51529,23,5800,252.17391304347825,1500,18,0
PRV51531,34,9870,290.29411764705884,3300,21,0
PRV51532,32,70930,2216.5625,18000,27,0
PRV51533,36,96350,2676.3888888888887,13000,23,0
PRV51534,1,50,50.0,50,1,0
PRV51535,388,121350,312.75773195876286,19000,63,0
PRV51536,16,41550,2596.875,11000,12,0
PRV51539,538,854240,1587.806691449814,57000,241,1
PRV51540,55,66940,1217.090909090909,13000,35,0
PRV51541,51,12140,238.0392156862745,2200,32,0
PRV51542,113,964660,8536.814159292035,74000,18,1
PRV51544,233,480150,2060.7296137339054,35000,134,0
PRV51546,36,110930,3081.3888888888887,21000,29,0
PRV51547,13,2640,203.07692307692307,1600,8,0
PRV51549,21,82110,3910.0,21000,18,0
PRV51550,61,124040,2033.4426229508197,25000,22,0
PRV51551,28,112800,4028.5714285714284,57000,11,0
PRV51552,62,94040,1516.774193548387,13000,40,0
PRV51553,21,40990,1951.904761904762,13000,15,0
PRV51554,6,9640,1606.6666666666667,9000,5,0
PRV51555,15,2910,194.0,1300,7,0
PRV51556,56,138250,2468.75,30000,47,0
PRV51557,10,16740,1674.0,11000,9,0
PRV51558,26,25870,995.0,11000,20,0
PRV51560,238,1956190,8219.285714285714,57000,26,1
PRV51562,24,5820,242.5,1000,9,0
PRV51563,19,4280,225.26315789473685,1400,13,0
PRV51564,24,9100,379.1666666666667,3300,14,0
PRV51566,26,90030,3462.6923076923076,19000,18,0
PRV51567,1632,465400,285.171568627451,11040,1,1
PRV51568,58,105010,1810.5172413793102,15000,44,0
PRV51569,5,1500,300.0,1200,4,0
PRV51570,1,0,0.0,0,1,0
PRV51571,22,4640,210.9090909090909,1700,2,0
PRV51572,4,5710,1427.5,5000,3,0
PRV51573,92,66730,725.3260869565217,12000,11,0
PRV51574,4444,1281810,288.4360936093609,14200,8,1
PRV51576,65,97780,1504.3076923076924,35000,31,0
PRV51577,1,2100,2100.0,2100,1,0
PRV51578,1500,1662920,1108.6133333333332,57000,231,1
PRV51579,72,247680,3440.0,57000,34,0
PRV51580,3,1710,570.0,900,2,0
PRV51582,4,14370,3592.5,12000,4,0
PRV51583,47,32430,690.0,15000,10,0
PRV51584,82,171930,2096.7073170731705,57000,36,1
PRV51585,6,77080,12846.666666666666,45000,4,0
PRV51586,8,72510,9063.75,33000,7,1
PRV51587,5,1500,300.0,1000,5,0
PRV51588,10,58430,5843.0,39000,7,0
PRV51590,84,781380,9302.142857142857,55000,4,1
PRV51592,3,30,10.0,30,1,0
PRV51593,54,150000,2777.777777777778,29000,36,1
PRV51595,24,14660,610.8333333333334,5000,9,0
PRV51596,50,41830,836.6,17000,39,0
PRV51598,422,779530,1847.2274881516587,57000,208,0
PRV51599,5,16210,3242.0,7000,3,0
PRV51600,109,36050,330.73394495412845,6000,9,0
PRV51601,14,3690,263.57142857142856,2900,6,0
PRV51602,39,77480,1986.6666666666667,11000,20,0
PRV51604,329,697510,2120.091185410334,57000,3,1
PRV51605,72,46990,652.6388888888889,11000,6,0
PRV51606,46,66100,1436.9565217391305,13000,23,0
PRV51607,15,15410,1027.3333333333333,14000,5,0
PRV51608,37,78140,2111.891891891892,16000,23,0
PRV51609,75,110790,1477.2,18000,46,0
PRV51610,6,43150,7191.666666666667,25000,6,0
PRV51611,8,2780,347.5,2300,2,0
PRV51612,13,66770,5136.153846153846,19000,8,0
PRV51613,21,20450,973.8095238095239,9000,15,0
PRV51614,268,1472150,5493.0970149253735,85000,67,1
PRV51616,26,6120,235.3846153846154,1800,24,0
PRV51617,22,111270,5057.727272727273,31000,10,0
PRV51618,1,2000,2000.0,2000,1,0
PRV51619,19,78150,4113.1578947368425,37000,9,0
PRV51620,8,21190,2648.75,9000,4,0
PRV51621,9,530,58.888888888888886,200,5,0
PRV51622,103,101690,987.2815533980582,13000,40,0
PRV51623,21,56350,2683.3333333333335,19000,15,0
PRV51624,5,320,64.0,100,3,0
PRV51625,7,19420,2774.285714285714,5000,6,0
PRV51626,9,36920,4102.222222222223,35000,8,0
PRV51627,26,44860,1725.3846153846155,26000,7,0
PRV51628,6,13320,2220.0,8000,5,0
PRV51629,22,213000,9681.818181818182,36000,10,0
PRV51630,5,1860,372.0,1700,4,0
PRV51631,6,1500,250.0,800,4,0
PRV51632,26,26850,1032.6923076923076,8000,10,0
PRV51634,119,71090,597.3949579831933,12000,30,0
PRV51635,29,28120,969.6551724137931,24000,23,0
PRV51636,316,180020,569.6835443037975,54000,9,0
PRV51637,34,43440,1277.6470588235295,19000,19,0
PRV51638,4,20490,5122.5,11000,4,0
PRV51639,29,112520,3880.0,39000,23,0
PRV51640,7,17490,2498.5714285714284,7000,6,0
PRV51641,14,1700,121.42857142857143,400,7,0
PRV51642,29,10460,360.6896551724138,5000,16,0
PRV51644,24,16490,687.0833333333334,7000,9,0
PRV51645,5,280,56.0,100,5,0
PRV51647,12,44940,3745.0,17000,6,0
PRV51650,24,13290,553.75,2700,2,0
PRV51652,64,17600,275.0,3000,2,0
PRV51653,24,8530,355.4166666666667,3300,2,0
PRV51654,2,220,110.0,200,1,0
PRV51655,3,70,23.333333333333332,40,2,0
PRV51656,23,4860,211.30434782608697,2000,1,0
PRV51657,4,3760,940.0,3300,3,0
PRV51658,5,1770,354.0,1500,3,0
PRV51660,3,180,60.0,100,3,0
PRV51661,134,47570,355.0,3300,4,0
PRV51664,10,790,79.0,300,7,0
PRV51665,15,3810,254.0,2100,2,0
PRV51666,1,50,50.0,50,1,0
PRV51668,38,9020,237.3684210526316,2500,7,0
PRV51669,76,21060,277.10526315789474,3300,29,0
PRV51670,436,122850,281.76605504587155,6000,72,0
PRV51671,39,8490,217.69230769230768,1400,14,0
PRV51672,6,2270,378.3333333333333,1800,3,0
PRV51673,183,51180,279.672131147541,3300,1,0
PRV51674,4,1400,350.0,800,2,0
PRV51675,28,7690,274.64285714285717,1700,9,0
PRV51676,138,91920,666.0869565217391,35000,22,0
PRV51678,66,25540,386.969696969697,3300,23,0
PRV51679,38,39420,1037.3684210526317,25000,7,0
PRV51681,26,69130,2658.846153846154,51000,9,0
PRV51682,16,9110,569.375,6200,7,0
PRV51685,55,11830,215.0909090909091,2500,4,0
PRV51687,10,2530,253.0,1500,4,0
PRV51688,9,22660,2517.777777777778,18000,5,0
PRV51689,1,1700,1700.0,1700,1,0
PRV51690,255,125280,491.29411764705884,11000,27,0
PRV51691,88,26790,304.4318181818182,3300,4,0
PRV51692,11,970,88.18181818181819,200,1,0
PRV51693,113,21100,186.72566371681415,3300,1,0
PRV51694,26,5940,228.46153846153845,1100,1,0
PRV51695,429,113180,263.8228438228438,3300,1,0
PRV51696,9,730,81.11111111111111,300,3,0
