Provider,TotalClaims,TotalClaimAmount,AvgClaimAmount,MaxClaimAmount,UniquePhysicians,PotentialFraud,anomaly_score
PRV51152,83,25770,310.48192771084337,3300,3,0,-0.16907176932195261
PRV51153,87,71490,821.7241379310345,34000,51,0,-0.056659229270456746
PRV51154,161,45750,284.16149068322983,8100,3,0,-0.1334334109375654
PRV51155,115,26330,228.95652173913044,3300,1,0,-0.15728311401133643
PRV51156,542,140640,259.48339483394835,3300,3,0,-0.04858664702751725
PRV51159,569,797790,1402.091388400703,57000,99,1,0.1166636448399282
PRV51160,114,872020,7649.298245614035,57000,22,0,0.05943586031150205
PRV51164,391,556980,1424.5012787723786,41000,7,0,0.027965081889586574
PRV51165,98,329700,3364.285714285714,57000,62,0,0.005860340032376121
PRV51166,5,24870,4974.0,22000,4,0,-0.09717867523106621
PRV51167,190,51980,273.57894736842104,3300,22,0,-0.13320087566237665
PRV51168,87,80470,924.9425287356322,25000,14,0,-0.11589031843587494
PRV51169,77,19380,251.6883116883117,3300,51,0,-0.10628682519738897
PRV51170,16,145820,9113.75,57000,8,1,-0.020485978591547438
PRV51171,59,13820,234.2372881355932,3300,38,0,-0.13610623215767415
PRV51173,22,96290,4376.818181818182,29000,12,1,-0.1023472860398777
PRV51175,41,9650,235.3658536585366,2100,21,0,-0.16161797336201872
PRV51176,445,145980,328.0449438202247,7500,128,0,0.06841927857721641
PRV51178,65,431180,6633.538461538462,43000,19,1,-0.014362875669683306
PRV51179,26,5000,192.30769230769232,1400,14,0,-0.1661128097427278
PRV51180,129,94240,730.5426356589147,41000,3,0,-0.06942195490643333
PRV51181,10,2150,215.0,800,5,0,-0.17585516886183167
PRV51183,113,355790,3148.5840707964603,38000,8,0,-0.04192394762769269
PRV51185,8,1590,198.75,500,5,0,-0.17199477123461798
PRV51186,2,100,50.0,50,1,0,-0.16474529836481294
PRV51189,56,8740,156.07142857142858,1600,11,0,-0.16296049427364462
PRV51190,66,39310,595.6060606060606,15000,23,0,-0.1370764381628573
PRV51191,32,10990,343.4375,3000,22,0,-0.1613050193137348
PRV51194,9,18540,2060.0,14000,5,0,-0.1291247754497909
PRV51196,720,197060,273.69444444444446,4300,1,0,-0.0034923474055137405
PRV51198,6,360,60.0,100,2,0,-0.1673889437222847
PRV51200,19,4420,232.6315789473684,1600,4,0,-0.17809852744257726
PRV51201,45,10660,236.88888888888889,3300,3,0,-0.176211730029951
PRV51202,12,5010,417.5,3100,5,0,-0.177670407969439
PRV51203,21,15340,730.4761904761905,9010,5,0,-0.16019004949682464
PRV51204,499,155180,310.9819639278557,3300,3,0,-0.0495134940820352
PRV51205,10,4660,466.0,3300,6,0,-0.17704657028170057
PRV51206,10,1560,156.0,400,6,0,-0.17090118548270927
PRV51207,3,51000,17000.0,38000,2,0,0.01724956990127835
PRV51209,42,9910,235.95238095238096,1700,2,0,-0.1716458261866235
PRV51210,9,2890,321.1111111111111,1400,3,0,-0.17517142798069257
PRV51211,2,100,50.0,100,2,0,-0.16632278937993927
PRV51212,15,6260,417.3333333333333,3300,2,0,-0.17918905706651161
PRV51213,2,50,25.0,30,2,0,-0.16293608580614122
PRV51214,8,3200,400.0,1600,3,0,-0.17330414045540654
PRV51215,10,1610,161.0,500,1,0,-0.17469422007069108
PRV51216,71,15560,219.1549295774648,3300,2,0,-0.17366390787956276
PRV51217,5,2930,586.0,2100,2,0,-0.16999796827479513
PRV51218,7,520,74.28571428571429,200,1,0,-0.16853130526325827
PRV51219,8,5330,666.25,3300,3,0,-0.16969619267975372
PRV51221,1,70,70.0,70,1,0,-0.16655022598790825
PRV51222,5,860,172.0,400,2,0,-0.17526750068627567
PRV51224,7,3130,447.1428571428572,1400,1,0,-0.17246145731177753
PRV51225,8,1190,148.75,500,2,0,-0.17459892099041363
PRV51226,20,7430,371.5,2200,3,0,-0.17662055627819334
PRV51228,5,430,86.0,200,2,0,-0.1691731871331696
PRV51229,47,12410,264.0425531914894,3000,2,0,-0.1748605166850326
PRV51230,30,12490,416.3333333333333,1800,2,0,-0.16873691653255063
PRV51231,2,16000,8000.0,8000,1,0,-0.07957997917362514
PRV51232,1,26000,26000.0,26000,1,0,0.07254229228955511
PRV51233,3,27000,9000.0,17000,2,0,-0.0738994028502849
PRV51234,5,29000,5800.0,13000,1,0,-0.10363074433698616
PRV51235,2,10000,5000.0,5000,1,0,-0.10465203022042663
PRV51236,1,12000,12000.0,12000,1,0,-0.042211714589236116
PRV51237,1,19000,19000.0,19000,1,0,0.02118177014960354
PRV51238,8,132000,16500.0,33000,1,0,0.014131461611223028
PRV51239,1,5000,5000.0,5000,1,0,-0.10578517511379792
PRV51240,60,94020,1567.0,19000,24,0,-0.11052488898554941
PRV51241,60,90210,1503.5,22000,23,0,-0.11345691813993608
PRV51242,111,117200,1055.855855855856,18000,43,1,-0.08323025223134062
PRV51243,36,6330,175.83333333333334,2600,5,0,-0.1726007013304271
PRV51244,1415,2153990,1522.2544169611308,57000,16,1,0.2086896307773295
PRV51245,173,83630,483.4104046242775,9000,30,0,-0.10656476201647841
PRV51247,34,76240,2242.3529411764707,18000,13,0,-0.12467641126038681
PRV51248,2,23500,11750.0,23000,2,0,-0.043156101882507014
PRV51249,126,521330,4137.539682539683,57000,36,1,-0.0019723919875753726
PRV51250,85,22560,265.4117647058824,2800,32,0,-0.14216849135631482
PRV51251,11,3590,326.3636363636364,1500,8,0,-0.17233939056429276
PRV51252,87,154930,1780.8045977011495,27000,35,0,-0.0787255338207653
PRV51253,85,21740,255.76470588235293,3300,40,0,-0.12304157219906092
PRV51255,74,40570,548.2432432432432,7000,21,0,-0.1522507157350037
PRV51256,95,38550,405.7894736842105,14800,38,0,-0.109864535227298
PRV51258,14,99660,7118.571428571428,28000,6,0,-0.0811609331786956
PRV51259,21,151960,7236.190476190476,84000,9,0,0.059606295167096146
PRV51260,62,92390,1490.1612903225807,43000,24,0,-0.08590230561143825
PRV51261,142,270170,1902.605633802817,29000,48,0,-0.03617796435389953
PRV51262,60,16270,271.1666666666667,2200,19,0,-0.16341309831337097
PRV51263,44,218170,4958.409090909091,57000,10,1,-0.046023021055694724
PRV51264,39,5270,135.12820512820514,1100,22,0,-0.15187079432610173
PRV51265,160,45770,286.0625,3300,5,0,-0.14774280630913306
PRV51266,92,102900,1118.4782608695652,33000,47,0,-0.06623341666539773
PRV51267,14,12870,919.2857142857144,6000,4,0,-0.15499464892787224
PRV51271,123,43180,351.0569105691057,13000,21,0,-0.13175648172831128
PRV51272,79,50760,642.5316455696203,18000,3,0,-0.13608222022002014
PRV51273,553,131340,237.50452079566003,6600,131,0,0.08181752658881813
PRV51274,58,175720,3029.655172413793,59000,31,0,-0.042616411460930204
PRV51276,67,133980,1999.7014925373132,20000,42,0,-0.07782095775784492
PRV51277,59,141190,2393.0508474576272,53000,27,0,-0.060399458992721866
PRV51279,224,59840,267.1428571428572,3300,21,0,-0.12273257450073938
PRV51280,39,20250,519.2307692307693,5060,13,0,-0.16427362829435688
PRV51281,259,89470,345.44401544401546,5020,3,0,-0.09872644329049718
PRV51282,59,77330,1310.677966101695,24000,22,0,-0.11698128086147325
PRV51284,377,279860,742.3342175066313,51000,10,0,-0.002309171358785611
PRV51285,168,196120,1167.3809523809523,57000,33,0,-0.03321450219120042
PRV51286,70,145170,2073.8571428571427,33000,10,0,-0.09229370360084638
PRV51287,78,25700,329.4871794871795,3300,3,0,-0.16925197185136215
PRV51288,8,37360,4670.0,29000,5,0,-0.09640533309126997
PRV51289,92,46300,503.2608695652174,3300,2,0,-0.15883786699056401
PRV51290,113,14990,132.65486725663715,1300,14,0,-0.1396994573477015
PRV51292,22,3970,180.45454545454547,800,7,0,-0.1728611240914612
PRV51293,88,21200,240.9090909090909,2600,7,0,-0.1648596945578525
PRV51295,7,1950,278.57142857142856,1200,4,0,-0.17336817339840832
PRV51296,30,38630,1287.6666666666667,17000,7,0,-0.13571412412443823
PRV51297,70,77090,1101.2857142857142,18000,11,0,-0.13004532571559108
PRV51298,100,31120,311.2,4060,2,0,-0.15811104179321617
PRV51299,37,6230,168.3783783783784,1600,12,0,-0.16654634980418936
PRV51300,52,107540,2068.076923076923,30000,3,0,-0.1035498061199625
PRV51301,112,136910,1222.4107142857142,53000,7,0,-0.052875597846167965
PRV51302,43,80710,1876.9767441860463,25000,9,0,-0.12165658407981123
PRV51303,93,36110,388.2795698924731,3000,4,0,-0.1632503773081348
PRV51304,51,39350,771.5686274509804,25000,12,0,-0.126453916974562
PRV51305,49,113400,2314.285714285714,35000,2,0,-0.08585310211521724
PRV51306,17,3700,217.64705882352945,1300,2,0,-0.17903808098217594
PRV51307,37,6940,187.5675675675676,2400,6,0,-0.17385152776152218
PRV51308,35,13790,394.0,2300,4,0,-0.17176160399402812
PRV51309,18,3790,210.55555555555557,1000,5,0,-0.17514709900239495
PRV51311,21,16010,762.3809523809524,6000,8,0,-0.16051569819839634
PRV51312,46,28790,625.8695652173913,7000,13,0,-0.16355053597406366
PRV51313,19,4970,261.57894736842104,1400,6,0,-0.17566193341603203
PRV51314,30,6460,215.33333333333331,1100,1,0,-0.1722194253916276
PRV51315,47,7210,153.40425531914894,2600,3,0,-0.17072034155750082
PRV51316,3,21000,7000.0,12000,1,0,-0.09173635395258489
PRV51318,3,13000,4333.333333333333,6000,1,0,-0.11156091397255363
PRV51322,12,850,70.83333333333333,200,1,0,-0.16968883833037374
PRV51323,76,20860,274.4736842105263,7500,1,0,-0.15396556450499438
PRV51324,28,9330,333.2142857142857,3300,2,0,-0.17924197828504024
PRV51325,15,15140,1009.3333333333334,3300,1,0,-0.15918250940108358
PRV51326,44,14000,318.1818181818182,3300,2,0,-0.17740048006885206
PRV51327,41,8990,219.26829268292684,3100,1,0,-0.17424155904009692
PRV51328,7,550,78.57142857142857,200,2,0,-0.17175554536786203
PRV51329,74,19360,261.6216216216216,3000,3,0,-0.1709501242602685
PRV51330,19,3810,200.52631578947367,500,1,0,-0.17100103652996962
PRV51331,5,320,64.0,100,1,0,-0.16412450323575623
PRV51334,2,15000,7500.0,10000,1,0,-0.08285221801118531
PRV51335,142,46080,324.50704225352115,3300,16,0,-0.15204018678514047
PRV51336,69,129450,1876.0869565217392,28000,39,0,-0.08112222660370633
PRV51337,168,379100,2256.5476190476197,49000,71,1,0.020595928987984236
PRV51338,128,113860,889.53125,18000,83,1,-0.009166199479950565
PRV51340,151,43210,286.158940397351,3010,80,0,-0.04670305125618185
PRV51341,71,14530,204.64788732394365,2800,53,0,-0.10277223816401293
PRV51342,207,356780,1723.574879227053,57000,31,0,-0.018461104541759588
PRV51344,33,26250,795.4545454545455,10000,18,0,-0.15332980666107393
PRV51345,49,15120,308.57142857142856,3200,12,0,-0.17592719856266054
PRV51346,266,104490,392.81954887218046,15000,96,0,0.016347084969693948
PRV51347,2067,596900,288.7760038703435,13800,4,1,0.1359116455865742
PRV51348,55,152330,2769.6363636363635,28000,41,0,-0.06551600367830379
PRV51349,30,40480,1349.3333333333333,14000,23,0,-0.12803105834981326
PRV51350,239,213380,892.8033472803347,13000,127,0,0.07125599371365421
PRV51351,32,10840,338.75,3300,16,0,-0.17141548813768043
PRV51352,4,5900,1475.0,2600,3,0,-0.15098077113351882
PRV51353,18,51210,2845.0,14000,12,0,-0.1260235599691299
PRV51354,4,10440,2610.0,10000,4,0,-0.1282700090066169
PRV51355,74,145060,1960.2702702702704,25000,24,0,-0.0928284845963172
PRV51356,95,187800,1976.842105263158,39000,36,0,-0.06235401032774024
PRV51357,161,205130,1274.0993788819876,33000,86,1,0.01028213588375193
PRV51358,17,61210,3600.5882352941176,16000,13,0,-0.12101782802352412
PRV51360,29,94230,3249.310344827586,32000,21,0,-0.09924890350335736
PRV51361,32,7870,245.9375,2800,19,0,-0.16674027499749278
PRV51362,44,151320,3439.090909090909,57000,22,0,-0.05374041554601533
PRV51363,3,150,50.0,100,3,0,-0.16569988237821437
PRV51364,23,55830,2427.391304347826,18000,13,0,-0.1258019415142535
PRV51366,57,18340,321.7543859649123,4100,11,0,-0.17077900496432152
PRV51368,4,570,142.5,300,3,0,-0.17114460003461324
PRV51369,2083,601910,288.96303408545367,6060,2,1,0.13627178338603674
PRV51371,46,93130,2024.5652173913045,13000,21,0,-0.11483139064902648
PRV51376,51,19420,380.7843137254902,6000,23,0,-0.15309478292107048
PRV51377,95,123950,1304.7368421052631,57000,47,0,-0.029653359355652775
PRV51378,161,1215370,7548.88198757764,57000,42,1,0.10595208956043889
PRV51379,22,19340,879.0909090909091,10000,21,0,-0.14752148997631276
PRV51380,8,51560,6445.0,25000,8,0,-0.08895129816299496
PRV51382,16,6840,427.5,5300,7,0,-0.16595869626193177
PRV51383,77,108490,1408.9610389610389,32000,29,0,-0.09265962178129722
PRV51386,382,99320,260.0,3300,18,0,-0.07753848267460867
PRV51387,59,114420,1939.322033898305,21000,22,0,-0.10707158541455314
PRV51388,86,191010,2221.046511627907,57000,35,0,-0.04440938744456435
PRV51389,79,153470,1942.6582278481008,19000,46,0,-0.05972372348153343
PRV51390,275,1607260,5844.581818181819,57000,71,1,0.15683769215653898
PRV51391,177,144400,815.819209039548,17300,70,0,-0.03121271303399442
PRV51392,17,1660,97.6470588235294,500,9,0,-0.16691425736049376
PRV51393,910,906370,996.010989010989,94000,14,1,0.18091914658435992
PRV51394,4,460,115.0,400,3,0,-0.1698123563507704
PRV51395,20,10400,520.0,3300,5,0,-0.17532130131248264
PRV51396,44,17520,398.1818181818182,6000,26,0,-0.14806755400249927
PRV51397,40,17870,446.75,3300,30,0,-0.14950506449102952
PRV51398,86,31040,360.9302325581396,4000,14,0,-0.16346354726857942
PRV51399,211,845070,4005.071090047393,103000,56,1,0.1539098324257614
PRV51401,42,91520,2179.0476190476197,27000,34,1,-0.09224081679697205
PRV51403,114,277010,2429.9122807017543,57000,39,0,-0.028131393701863627
PRV51404,59,29350,497.457627118644,12000,37,0,-0.12183054758045259
PRV51405,49,23710,483.8775510204082,5000,18,0,-0.15987692434713935
PRV51406,29,104260,3595.1724137931037,46000,19,0,-0.07373252032669886
PRV51408,15,1390,92.66666666666669,600,10,0,-0.16725556572266453
PRV51409,4,300,75.0,100,4,0,-0.16200480227150282
PRV51410,628,177550,282.7229299363057,8010,7,1,-0.030054671962090107
PRV51412,5,440,88.0,200,5,0,-0.16251125351606777
PRV51414,28,30230,1079.642857142857,17000,9,0,-0.13951308081249447
PRV51415,51,63690,1248.8235294117646,10000,33,0,-0.11570090009498057
PRV51416,81,25640,316.5432098765432,2300,1,0,-0.15915834455439487
PRV51418,61,189340,3103.934426229508,35000,39,0,-0.057382544407916514
PRV51419,65,31250,480.7692307692308,11000,40,0,-0.1129555286721654
PRV51421,139,884780,6365.323741007194,57000,39,1,0.06356574437874318
PRV51422,25,48930,1957.2,15000,15,0,-0.13545310653371073
PRV51423,1,50,50.0,50,1,0,-0.16396358104860242
PRV51424,86,29670,345.0,6000,34,0,-0.1278977837585083
PRV51425,33,25990,787.5757575757576,5700,14,0,-0.1598359393143589
PRV51426,206,145100,704.3689320388349,49000,30,1,-0.043779634671301804
PRV51427,58,58770,1013.2758620689656,11000,25,0,-0.13003819391865667
PRV51428,66,48040,727.8787878787879,11000,43,0,-0.10965052484944687
PRV51429,10,1100,110.0,500,9,0,-0.1651956652730156
PRV51430,112,213700,1908.0357142857144,37000,35,0,-0.06276627441026811
PRV51431,49,236720,4831.0204081632655,23000,14,0,-0.07392422625351441
PRV51432,23,59270,2576.9565217391305,24000,19,0,-0.11460297603582037
PRV51433,1610,454630,282.37888198757764,3300,4,1,0.11126493582702235
PRV51434,102,280490,2749.901960784314,53000,49,1,-0.020820491304810396
PRV51435,23,33620,1461.7391304347825,10000,15,0,-0.14536491953744313
PRV51436,120,193410,1611.75,25000,79,0,0.00813489249611632
PRV51437,2,880,440.0,800,2,0,-0.17276172668655942
PRV51438,9,19510,2167.777777777778,9000,7,0,-0.1334348568806742
PRV51439,42,15040,358.0952380952381,3300,25,0,-0.1612109783299307
PRV51440,71,106380,1498.3098591549297,20000,25,0,-0.10785993842795344
PRV51441,85,29130,342.7058823529412,3300,24,0,-0.15639633381006068
PRV51442,6,25970,4328.333333333333,21000,4,0,-0.10730374113713514
PRV51443,73,33900,464.3835616438356,8000,26,0,-0.13951027686153272
PRV51444,42,73920,1760.0,36000,31,0,-0.08656021274610542
PRV51446,24,97390,4057.9166666666665,21000,20,0,-0.10179961516768943
PRV51447,89,269390,3026.85393258427,78000,77,1,0.08964754709357259
PRV51448,51,115550,2265.686274509804,30000,37,0,-0.0813485788231263
PRV51449,17,69780,4104.705882352941,13000,14,0,-0.11231308143483598
PRV51451,6,1170,195.0,800,4,0,-0.17418184777727896
PRV51453,12,7080,590.0,3300,11,0,-0.17027217277209578
PRV51454,34,10630,312.6470588235294,2700,19,0,-0.16812996699197036
PRV51455,34,113650,3342.6470588235293,38000,26,0,-0.0754693411002047
PRV51456,135,1038990,7696.222222222223,57000,10,0,0.07980417016334629
PRV51458,56,12440,222.14285714285717,3010,31,0,-0.14970270253122786
PRV51459,8240,2321890,281.78276699029124,7030,7,1,0.2374185530250671
PRV51460,452,334480,740.0,57000,64,0,0.043619105177427064
PRV51462,30,9430,314.3333333333333,2500,14,0,-0.17291232945531648
PRV51464,145,38530,265.7241379310345,3300,86,0,-0.03458780727346361
PRV51465,7,3900,557.1428571428571,3000,7,0,-0.1700294883391324
PRV51466,74,57860,781.8918918918919,22000,45,0,-0.09111849979479497
PRV51467,25,74260,2970.4,44000,13,0,-0.08687581378429121
PRV51468,159,138670,872.1383647798742,14000,68,0,-0.0398542455933949
PRV51469,28,9350,333.92857142857144,3100,21,0,-0.16625324796496949
PRV51470,27,35590,1318.148148148148,11000,16,0,-0.14199255074138473
PRV51471,180,1602210,8901.166666666666,81000,17,1,0.1838497461262566
PRV51472,16,2170,135.625,500,8,0,-0.16769896275182317
PRV51474,71,411260,5792.394366197183,25000,16,0,-0.034740251950601986
PRV51475,43,73130,1700.6976744186047,12000,23,0,-0.12366376121607275
PRV51476,18,20180,1121.111111111111,7000,13,0,-0.1516789014279616
PRV51477,22,9940,451.8181818181818,3300,11,0,-0.17284845033870677
PRV51478,17,3930,231.1764705882353,1200,10,0,-0.17106581235855117
PRV51479,228,134630,590.4824561403509,15000,64,0,-0.037131573531973106
PRV51480,1924,557880,289.95841995841994,10500,4,1,0.12638340713140783
PRV51482,91,218470,2400.769230769231,99000,60,1,0.1068860065502456
PRV51483,77,60400,784.4155844155844,17000,44,0,-0.09936832968926262
PRV51484,86,23570,274.06976744186045,5000,28,0,-0.14049476603350752
PRV51486,214,53660,250.74766355140187,3300,15,0,-0.1305844839617209
PRV51487,13,9240,710.7692307692307,3300,8,0,-0.16868660106614325
PRV51488,272,108930,400.4779411764706,10000,119,0,0.045544403269492384
PRV51490,64,442070,6907.34375,57000,9,1,-0.003216392330325446
PRV51491,71,67480,950.4225352112676,11000,39,0,-0.10218991744302824
PRV51492,81,150550,1858.641975308642,23000,46,0,-0.060615591363502974
PRV51494,38,17450,459.2105263157895,3300,25,0,-0.15808871833580157
PRV51495,141,845690,5997.801418439716,57000,32,1,0.04548252003122066
PRV51496,123,29250,237.8048780487805,2100,5,0,-0.14590670725691857
PRV51497,15,104190,6946.0,57000,13,0,-0.038908693364557045
PRV51499,474,137840,290.80168776371306,14000,5,0,-0.055781828968066105
